"Averaging time data supplied by EarthSense on 23/04/2025"
"Source","Zephyr"
"ID","Zephyr (1653)"
"Site Name","1653"
"Time Period","01/03/2025 00:00 - 31/03/2025 23:59"
"Timestamp","31/03/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3142"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"28-02-2025","17:00:00","2025-02-28T23:00:00+00:00","N/A","N/A","28.03","μg/m³","0","μg/m³","74.18","μg/m³","4.65","μg/m³","6.97","μg/m³","9.4","μg/m³","18.17","μg/m³","15.98","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","27.51","52.67","N/A","N/A","N/A","2","53","N/A"
"28-02-2025","18:00:00","2025-03-01T00:00:00+00:00","N/A","N/A","21.1","μg/m³","0","μg/m³","72.87","μg/m³","5.02","μg/m³","7.05","μg/m³","10.22","μg/m³","13.35","μg/m³","15.69","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","24.14","61.07","N/A","N/A","N/A","2","62","N/A"
"28-02-2025","19:00:00","2025-03-01T01:00:00+00:00","N/A","N/A","22.24","μg/m³","0","μg/m³","67","μg/m³","5.13","μg/m³","6.76","μg/m³","10.18","μg/m³","9.43","μg/m³","12.14","μg/m³","0.09","mg/m³","N/A","ppm","N/A","ppb","21.94","69.22","N/A","N/A","N/A","2","68","N/A"
"28-02-2025","20:00:00","2025-03-01T02:00:00+00:00","N/A","N/A","19.08","μg/m³","0","μg/m³","61.08","μg/m³","4.47","μg/m³","5.86","μg/m³","8.98","μg/m³","5.62","μg/m³","3.3","μg/m³","0.15","mg/m³","N/A","ppm","N/A","ppb","20.91","70.62","N/A","N/A","N/A","2","70","N/A"
"28-02-2025","21:00:00","2025-03-01T03:00:00+00:00","N/A","N/A","15.8","μg/m³","0","μg/m³","60.53","μg/m³","5.75","μg/m³","7.2","μg/m³","10.86","μg/m³","4.71","μg/m³","2.88","μg/m³","0.18","mg/m³","N/A","ppm","N/A","ppb","20.72","71.01","N/A","N/A","N/A","3","72","N/A"
"28-02-2025","22:00:00","2025-03-01T04:00:00+00:00","N/A","N/A","15.66","μg/m³","0","μg/m³","59.42","μg/m³","6.16","μg/m³","7.48","μg/m³","11.2","μg/m³","4.26","μg/m³","3.51","μg/m³","0.23","mg/m³","N/A","ppm","N/A","ppb","20.35","72.48","N/A","N/A","N/A","3","69","N/A"
"28-02-2025","23:00:00","2025-03-01T05:00:00+00:00","N/A","N/A","10.62","μg/m³","0","μg/m³","60.29","μg/m³","5.05","μg/m³","6.48","μg/m³","10.1","μg/m³","2.64","μg/m³","1.56","μg/m³","0.16","mg/m³","N/A","ppm","N/A","ppb","19.67","72.94","N/A","N/A","N/A","3","67","N/A"
"01-03-2025","00:00:00","2025-03-01T06:00:00+00:00","N/A","N/A","5.65","μg/m³","0","μg/m³","60","μg/m³","5.76","μg/m³","7.13","μg/m³","10.95","μg/m³","1.31","μg/m³","1.1","μg/m³","0.18","mg/m³","N/A","ppm","N/A","ppb","18.95","72.77","N/A","N/A","N/A","3","69","N/A"
"01-03-2025","01:00:00","2025-03-01T07:00:00+00:00","N/A","N/A","9.09","μg/m³","0","μg/m³","61.06","μg/m³","7.27","μg/m³","8.6","μg/m³","13.14","μg/m³","1","μg/m³","3.24","μg/m³","0.24","mg/m³","N/A","ppm","N/A","ppb","18.27","75.79","N/A","N/A","N/A","2","72","N/A"
"01-03-2025","02:00:00","2025-03-01T08:00:00+00:00","N/A","N/A","7.84","μg/m³","0","μg/m³","60.58","μg/m³","6.31","μg/m³","7.6","μg/m³","11.62","μg/m³","0.2","μg/m³","0.66","μg/m³","0.23","mg/m³","N/A","ppm","N/A","ppb","17.95","75.7","N/A","N/A","N/A","2","72","N/A"
"01-03-2025","03:00:00","2025-03-01T09:00:00+00:00","N/A","N/A","4.05","μg/m³","0.01","μg/m³","64.1","μg/m³","5.64","μg/m³","6.92","μg/m³","10.85","μg/m³","0.03","μg/m³","0.09","μg/m³","0.22","mg/m³","N/A","ppm","N/A","ppb","17.8","74.96","N/A","N/A","N/A","2","75","N/A"
"01-03-2025","04:00:00","2025-03-01T10:00:00+00:00","N/A","N/A","3.57","μg/m³","0","μg/m³","63.24","μg/m³","5.34","μg/m³","6.76","μg/m³","10.54","μg/m³","0","μg/m³","0.4","μg/m³","0.23","mg/m³","N/A","ppm","N/A","ppb","17.6","74.73","N/A","N/A","N/A","3","75","N/A"
