"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1776)"
"Site Name","1776"
"Time Period","01/05/2025 00:00 - 31/05/2025 23:59"
"Timestamp","31/05/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC2503"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"30-04-2025","17:00:00","2025-04-30T23:00:00+00:00","N/A","N/A","64.67","μg/m³","0","μg/m³","34.55","μg/m³","0.74","μg/m³","2","μg/m³","3.54","μg/m³","16.89","μg/m³","41.14","μg/m³","0","mg/m³","23.77","68.97","N/A","N/A","N/A","2","46","N/A"
"30-04-2025","18:00:00","2025-05-01T00:00:00+00:00","10.023064","-84.111679","55.44","μg/m³","0","μg/m³","8.29","μg/m³","2.76","μg/m³","3.36","μg/m³","6.3","μg/m³","20.5","μg/m³","25.48","μg/m³","0","mg/m³","21.2","82.28","N/A","N/A","N/A","2","57","N/A"
"30-04-2025","19:00:00","2025-05-01T01:00:00+00:00","10.023034","-84.111708","45.54","μg/m³","0","μg/m³","0.93","μg/m³","0.08","μg/m³","0.71","μg/m³","3.5","μg/m³","25.83","μg/m³","11.86","μg/m³","0","mg/m³","20.21","85.03","N/A","N/A","N/A","2","57","N/A"
"30-04-2025","20:00:00","2025-05-01T02:00:00+00:00","N/A","N/A","48.67","μg/m³","0","μg/m³","0","μg/m³","2.13","μg/m³","2.56","μg/m³","5.73","μg/m³","18.36","μg/m³","7.41","μg/m³","0","mg/m³","20.06","87.04","N/A","N/A","N/A","2","68","N/A"
"30-04-2025","21:00:00","2025-05-01T03:00:00+00:00","N/A","N/A","23.09","μg/m³","0","μg/m³","1.84","μg/m³","0.86","μg/m³","1.44","μg/m³","4.32","μg/m³","14.45","μg/m³","0.58","μg/m³","0","mg/m³","19.69","84.61","N/A","N/A","N/A","2","75","N/A"
"30-04-2025","22:00:00","2025-05-01T04:00:00+00:00","N/A","N/A","17.11","μg/m³","0","μg/m³","4.7","μg/m³","0.39","μg/m³","1.1","μg/m³","3.63","μg/m³","9.58","μg/m³","0.14","μg/m³","0","mg/m³","19.7","81.5","N/A","N/A","N/A","2","74","N/A"
"30-04-2025","23:00:00","2025-05-01T05:00:00+00:00","N/A","N/A","31.86","μg/m³","0","μg/m³","0","μg/m³","0.92","μg/m³","1.5","μg/m³","4.35","μg/m³","14.66","μg/m³","5.75","μg/m³","0","mg/m³","19.25","84.26","N/A","N/A","N/A","1","81","N/A"
"01-05-2025","00:00:00","2025-05-01T06:00:00+00:00","N/A","N/A","36.88","μg/m³","0","μg/m³","0","μg/m³","2.33","μg/m³","2.87","μg/m³","6.18","μg/m³","18.93","μg/m³","7.32","μg/m³","0","mg/m³","19.08","87.23","N/A","N/A","N/A","1","88","N/A"
"01-05-2025","01:00:00","2025-05-01T07:00:00+00:00","10.023017","-84.111722","21.76","μg/m³","0","μg/m³","0.01","μg/m³","0.85","μg/m³","1.45","μg/m³","4.37","μg/m³","12.85","μg/m³","0.43","μg/m³","0","mg/m³","19.2","85.27","N/A","N/A","N/A","2","73","N/A"
"01-05-2025","02:00:00","2025-05-01T08:00:00+00:00","10.023013","-84.111723","26.32","μg/m³","0","μg/m³","0","μg/m³","1.05","μg/m³","1.67","μg/m³","4.69","μg/m³","14.15","μg/m³","2.99","μg/m³","0","mg/m³","19.16","85.49","N/A","N/A","N/A","1","97","N/A"
