"Averaging time data supplied by EarthSense on 23/04/2025"
"Source","Zephyr"
"ID","Zephyr (1777)"
"Site Name","1777"
"Time Period","01/03/2025 00:00 - 31/03/2025 23:59"
"Timestamp","31/03/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3224"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"28-02-2025","17:00:00","2025-02-28T23:00:00+00:00","N/A","N/A","126.81","μg/m³","0","μg/m³","63.52","μg/m³","0","μg/m³","2.71","μg/m³","2.95","μg/m³","41.92","μg/m³","34.9","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","36.24","31.47","N/A","N/A","N/A","1","46","N/A"
"28-02-2025","18:00:00","2025-03-01T00:00:00+00:00","N/A","N/A","94.15","μg/m³","0","μg/m³","49.19","μg/m³","0","μg/m³","2.26","μg/m³","2.49","μg/m³","32.85","μg/m³","38.33","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","29.94","42.3","N/A","N/A","N/A","2","34","N/A"
"28-02-2025","19:00:00","2025-03-01T01:00:00+00:00","N/A","N/A","80.27","μg/m³","0","μg/m³","35.38","μg/m³","0","μg/m³","1.85","μg/m³","2.01","μg/m³","23.18","μg/m³","26.06","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","26.17","52.21","N/A","N/A","N/A","2","43","N/A"
"28-02-2025","20:00:00","2025-03-01T02:00:00+00:00","N/A","N/A","65.05","μg/m³","0","μg/m³","35.01","μg/m³","0","μg/m³","1.6","μg/m³","1.98","μg/m³","17.69","μg/m³","15.87","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","24.54","58.15","N/A","N/A","N/A","2","47","N/A"
"28-02-2025","21:00:00","2025-03-01T03:00:00+00:00","N/A","N/A","74.39","μg/m³","0","μg/m³","18.69","μg/m³","0","μg/m³","1.25","μg/m³","2.36","μg/m³","16.51","μg/m³","19.54","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","23.4","66.63","N/A","N/A","N/A","2","48","N/A"
"28-02-2025","22:00:00","2025-03-01T04:00:00+00:00","N/A","N/A","56.46","μg/m³","0","μg/m³","20.48","μg/m³","0","μg/m³","1.13","μg/m³","2.52","μg/m³","12.79","μg/m³","8.83","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.5","69.48","N/A","N/A","N/A","2","48","N/A"
"28-02-2025","23:00:00","2025-03-01T05:00:00+00:00","N/A","N/A","33.59","μg/m³","0","μg/m³","27.47","μg/m³","0","μg/m³","1.21","μg/m³","2.32","μg/m³","9.47","μg/m³","3.92","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.05","67.66","N/A","N/A","N/A","2","47","N/A"
"01-03-2025","00:00:00","2025-03-01T06:00:00+00:00","N/A","N/A","24.84","μg/m³","0","μg/m³","39.41","μg/m³","0","μg/m³","1.44","μg/m³","2.13","μg/m³","8.86","μg/m³","0.16","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.4","62.06","N/A","N/A","N/A","2","47","N/A"
"01-03-2025","01:00:00","2025-03-01T07:00:00+00:00","N/A","N/A","22.85","μg/m³","0","μg/m³","50.88","μg/m³","0","μg/m³","1.46","μg/m³","2.12","μg/m³","8.85","μg/m³","0.4","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.29","61.53","N/A","N/A","N/A","2","48","N/A"
"01-03-2025","02:00:00","2025-03-01T08:00:00+00:00","N/A","N/A","16.25","μg/m³","0","μg/m³","53.26","μg/m³","0","μg/m³","1.53","μg/m³","2.03","μg/m³","8.72","μg/m³","0.11","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.26","59.78","N/A","N/A","N/A","3","48","N/A"
