"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1637)"
"Site Name","1637"
"Time Period","01/04/2025 00:00 - 30/04/2025 23:59"
"Timestamp","30/04/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC2563"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-03-2025","17:00:00","2025-03-31T23:00:00+00:00","N/A","N/A","72.09","μg/m³","0","μg/m³","50.19","μg/m³","8.98","μg/m³","12.36","μg/m³","18.3","μg/m³","9.18","μg/m³","36.69","μg/m³","0","mg/m³","26.27","59.1","N/A","N/A","N/A","1","32","N/A"
"31-03-2025","18:00:00","2025-04-01T00:00:00+00:00","N/A","N/A","62.03","μg/m³","0","μg/m³","30.91","μg/m³","7.33","μg/m³","10.31","μg/m³","14.99","μg/m³","5.66","μg/m³","25.25","μg/m³","0","mg/m³","22.94","70.19","N/A","N/A","N/A","1","43","N/A"
"31-03-2025","19:00:00","2025-04-01T01:00:00+00:00","N/A","N/A","53.5","μg/m³","0","μg/m³","18.89","μg/m³","5.31","μg/m³","7.15","μg/m³","10.84","μg/m³","2.97","μg/m³","12.59","μg/m³","0","mg/m³","22.05","74.36","N/A","N/A","N/A","1","52","N/A"
"31-03-2025","20:00:00","2025-04-01T02:00:00+00:00","N/A","N/A","42.41","μg/m³","0","μg/m³","19.31","μg/m³","3.22","μg/m³","4.69","μg/m³","7.69","μg/m³","1.43","μg/m³","5.73","μg/m³","0","mg/m³","21.64","75.51","N/A","N/A","N/A","1","64","N/A"
"31-03-2025","21:00:00","2025-04-01T03:00:00+00:00","N/A","N/A","33.78","μg/m³","0","μg/m³","19.45","μg/m³","4.43","μg/m³","6.04","μg/m³","9.59","μg/m³","1.47","μg/m³","5.24","μg/m³","0","mg/m³","21.12","77.7","N/A","N/A","N/A","1","79","N/A"
"31-03-2025","22:00:00","2025-04-01T04:00:00+00:00","N/A","N/A","9.56","μg/m³","0","μg/m³","20.43","μg/m³","3.17","μg/m³","4.75","μg/m³","7.26","μg/m³","0","μg/m³","0","μg/m³","0","mg/m³","20.25","68.1","N/A","N/A","N/A","2","66","N/A"
"31-03-2025","23:00:00","2025-04-01T05:00:00+00:00","N/A","N/A","10.77","μg/m³","0","μg/m³","35.18","μg/m³","2.68","μg/m³","4.46","μg/m³","6.5","μg/m³","0","μg/m³","0","μg/m³","0","mg/m³","20.25","63.49","N/A","N/A","N/A","1","66","N/A"
"01-04-2025","00:00:00","2025-04-01T06:00:00+00:00","N/A","N/A","17.23","μg/m³","0","μg/m³","49.7","μg/m³","2.76","μg/m³","4.47","μg/m³","6.62","μg/m³","0.02","μg/m³","2.33","μg/m³","0","mg/m³","20.06","64.83","N/A","N/A","N/A","1","79","N/A"
"01-04-2025","01:00:00","2025-04-01T07:00:00+00:00","N/A","N/A","33.35","μg/m³","0","μg/m³","30.19","μg/m³","5.09","μg/m³","6.73","μg/m³","10","μg/m³","1.14","μg/m³","8.84","μg/m³","0","mg/m³","20.35","70.46","N/A","N/A","N/A","2","81","N/A"
"01-04-2025","02:00:00","2025-04-01T08:00:00+00:00","N/A","N/A","24.68","μg/m³","0","μg/m³","32.5","μg/m³","5.05","μg/m³","6.74","μg/m³","10.13","μg/m³","0.32","μg/m³","4.41","μg/m³","0","mg/m³","20.3","71.32","N/A","N/A","N/A","2","81","N/A"
"01-04-2025","03:00:00","2025-04-01T09:00:00+00:00","N/A","N/A","21.28","μg/m³","0","μg/m³","29.48","μg/m³","4.25","μg/m³","5.97","μg/m³","9.17","μg/m³","0.1","μg/m³","1.9","μg/m³","0","mg/m³","19.95","71.91","N/A","N/A","N/A","2","74","N/A"
"01-04-2025","04:00:00","2025-04-01T10:00:00+00:00","N/A","N/A","17.65","μg/m³","0","μg/m³","29.03","μg/m³","3.34","μg/m³","4.82","μg/m³","7.62","μg/m³","0.27","μg/m³","0.68","μg/m³","0","mg/m³","19.33","71.55","N/A","N/A","N/A","2","70","N/A"
"01-04-2025","05:00:00","2025-04-01T11:00:00+00:00","N/A","N/A","13.72","μg/m³","0","μg/m³","26.21","μg/m³","2.94","μg/m³","4.46","μg/m³","7.04","μg/m³","0.08","μg/m³","0.05","μg/m³","0","mg/m³","19.2","69.99","N/A","N/A","N/A","2","65","N/A"
"01-04-2025","06:00:00","2025-04-01T12:00:00+00:00","N/A","N/A","28.67","μg/m³","0.41","μg/m³","13.61","μg/m³","3.41","μg/m³","4.68","μg/m³","7.14","μg/m³","0.39","μg/m³","1.29","μg/m³","0.01","mg/m³","19.08","67.81","N/A","N/A","N/A","2","68","N/A"
"01-04-2025","07:00:00","2025-04-01T13:00:00+00:00","N/A","N/A","25.35","μg/m³","0","μg/m³","28.24","μg/m³","2.44","μg/m³","4.19","μg/m³","6.03","μg/m³","1.6","μg/m³","1.16","μg/m³","0","mg/m³","23.16","62.01","N/A","N/A","N/A","2","66","N/A"
"01-04-2025","08:00:00","2025-04-01T14:00:00+00:00","N/A","N/A","23.49","μg/m³","0","μg/m³","43.03","μg/m³","1.82","μg/m³","4.05","μg/m³","4.73","μg/m³","3.19","μg/m³","0","μg/m³","0","mg/m³","28.04","49.3","N/A","N/A","N/A","2","60","N/A"
"01-04-2025","09:00:00","2025-04-01T15:00:00+00:00","N/A","N/A","33.23","μg/m³","0","μg/m³","61.29","μg/m³","1.2","μg/m³","3.63","μg/m³","3.98","μg/m³","5.32","μg/m³","0.27","μg/m³","0","mg/m³","29.89","43.63","N/A","N/A","N/A","2","56","N/A"
"01-04-2025","10:00:00","2025-04-01T16:00:00+00:00","N/A","N/A","41.28","μg/m³","0","μg/m³","65.49","μg/m³","1.11","μg/m³","3.58","μg/m³","3.91","μg/m³","5.3","μg/m³","1.04","μg/m³","0","mg/m³","30.31","42.44","N/A","N/A","N/A","2","43","N/A"
"01-04-2025","11:00:00","2025-04-01T17:00:00+00:00","N/A","N/A","44.76","μg/m³","0","μg/m³","66.68","μg/m³","1.66","μg/m³","4.08","μg/m³","4.44","μg/m³","6.27","μg/m³","2.26","μg/m³","0","mg/m³","30.46","42.28","N/A","N/A","N/A","3","33","N/A"
"01-04-2025","12:00:00","2025-04-01T18:00:00+00:00","N/A","N/A","42.32","μg/m³","0","μg/m³","71.08","μg/m³","1.85","μg/m³","4.23","μg/m³","4.56","μg/m³","6.63","μg/m³","4.25","μg/m³","0","mg/m³","29.88","43.59","N/A","N/A","N/A","3","28","N/A"
"01-04-2025","13:00:00","2025-04-01T19:00:00+00:00","N/A","N/A","40.71","μg/m³","0","μg/m³","73.85","μg/m³","1.89","μg/m³","4.35","μg/m³","4.75","μg/m³","6.88","μg/m³","1.96","μg/m³","0","mg/m³","30.39","42.62","N/A","N/A","N/A","3","26","N/A"
