"Averaging time data supplied by EarthSense on 27/08/2025"
"Source","Zephyr"
"ID","Zephyr (1653)"
"Site Name","1653"
"Time Period","01/02/2025 00:00 - 28/02/2025 23:59"
"Timestamp","28/02/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3142"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-01-2025","17:00:00","2025-01-31T23:00:00+00:00","N/A","N/A","18.9","μg/m³","0","μg/m³","72.2","μg/m³","0.83","μg/m³","2.21","μg/m³","4.11","μg/m³","12.28","μg/m³","17.02","μg/m³","0.03","mg/m³","N/A","ppm","N/A","ppb","23.19","69.93","N/A","N/A","N/A","2","50","N/A"
"31-01-2025","18:00:00","2025-02-01T00:00:00+00:00","N/A","N/A","23.71","μg/m³","0","μg/m³","62.45","μg/m³","0.39","μg/m³","1.57","μg/m³","3.6","μg/m³","8.72","μg/m³","8.23","μg/m³","0.12","mg/m³","N/A","ppm","N/A","ppb","22.09","73.73","N/A","N/A","N/A","2","57","N/A"
"31-01-2025","19:00:00","2025-02-01T01:00:00+00:00","N/A","N/A","23.97","μg/m³","0","μg/m³","58.01","μg/m³","0.15","μg/m³","0.91","μg/m³","3.5","μg/m³","6.89","μg/m³","10.35","μg/m³","0.26","mg/m³","N/A","ppm","N/A","ppb","20.51","82.06","N/A","N/A","N/A","2","62","N/A"
"31-01-2025","20:00:00","2025-02-01T02:00:00+00:00","N/A","N/A","40.8","μg/m³","5.28","μg/m³","41.26","μg/m³","2.56","μg/m³","3.08","μg/m³","6.23","μg/m³","9.21","μg/m³","10.79","μg/m³","0.83","mg/m³","N/A","ppm","N/A","ppb","20.29","85.47","N/A","N/A","N/A","2","62","N/A"
"31-01-2025","21:00:00","2025-02-01T03:00:00+00:00","N/A","N/A","49.89","μg/m³","35.61","μg/m³","31.34","μg/m³","6.57","μg/m³","7.18","μg/m³","10.45","μg/m³","13.9","μg/m³","11.84","μg/m³","1.48","mg/m³","N/A","ppm","N/A","ppb","20.33","86.86","N/A","N/A","N/A","2","64","N/A"
"31-01-2025","22:00:00","2025-02-01T04:00:00+00:00","N/A","N/A","39.14","μg/m³","13.28","μg/m³","34.81","μg/m³","5.17","μg/m³","5.8","μg/m³","9.14","μg/m³","9.86","μg/m³","6.93","μg/m³","1.03","mg/m³","N/A","ppm","N/A","ppb","20.31","86.59","N/A","N/A","N/A","2","64","N/A"
"31-01-2025","23:00:00","2025-02-01T05:00:00+00:00","N/A","N/A","28.77","μg/m³","0.85","μg/m³","42.04","μg/m³","3.59","μg/m³","4.27","μg/m³","7.67","μg/m³","5.58","μg/m³","4.92","μg/m³","0.56","mg/m³","N/A","ppm","N/A","ppb","20.15","85.07","N/A","N/A","N/A","2","63","N/A"
"01-02-2025","00:00:00","2025-02-01T06:00:00+00:00","N/A","N/A","25.35","μg/m³","0","μg/m³","41.73","μg/m³","2.91","μg/m³","3.54","μg/m³","6.9","μg/m³","4.07","μg/m³","2.53","μg/m³","0.4","mg/m³","N/A","ppm","N/A","ppb","19.89","85.22","N/A","N/A","N/A","2","60","N/A"
"01-02-2025","01:00:00","2025-02-01T07:00:00+00:00","N/A","N/A","12.73","μg/m³","0","μg/m³","57.09","μg/m³","2.42","μg/m³","3.27","μg/m³","6.41","μg/m³","1.85","μg/m³","0.36","μg/m³","0.21","mg/m³","N/A","ppm","N/A","ppb","20.02","82.22","N/A","N/A","N/A","3","60","N/A"
"01-02-2025","02:00:00","2025-02-01T08:00:00+00:00","N/A","N/A","9.92","μg/m³","0","μg/m³","59.86","μg/m³","4.82","μg/m³","5.8","μg/m³","9.42","μg/m³","2.27","μg/m³","2.6","μg/m³","0.19","mg/m³","N/A","ppm","N/A","ppb","20.16","79.96","N/A","N/A","N/A","3","59","N/A"
"01-02-2025","03:00:00","2025-02-01T09:00:00+00:00","N/A","N/A","8.68","μg/m³","0","μg/m³","67.15","μg/m³","4.51","μg/m³","5.5","μg/m³","9.09","μg/m³","1.5","μg/m³","1.28","μg/m³","0.17","mg/m³","N/A","ppm","N/A","ppb","19.88","81.39","N/A","N/A","N/A","3","56","N/A"
"01-02-2025","04:00:00","2025-02-01T10:00:00+00:00","N/A","N/A","4.28","μg/m³","0","μg/m³","68.76","μg/m³","4.28","μg/m³","5.45","μg/m³","8.93","μg/m³","1.19","μg/m³","0.08","μg/m³","0.12","mg/m³","N/A","ppm","N/A","ppb","20.11","78.63","N/A","N/A","N/A","3","58","N/A"
"01-02-2025","05:00:00","2025-02-01T11:00:00+00:00","N/A","N/A","3.21","μg/m³","0","μg/m³","70.49","μg/m³","4.34","μg/m³","5.54","μg/m³","9.24","μg/m³","1.41","μg/m³","1.16","μg/m³","0.13","mg/m³","N/A","ppm","N/A","ppb","20.03","78.63","N/A","N/A","N/A","3","64","N/A"
"01-02-2025","06:00:00","2025-02-01T12:00:00+00:00","N/A","N/A","4.52","μg/m³","0","μg/m³","66.99","μg/m³","2.7","μg/m³","3.87","μg/m³","7.01","μg/m³","1.9","μg/m³","1.27","μg/m³","0.16","mg/m³","N/A","ppm","N/A","ppb","20.03","78.78","N/A","N/A","N/A","4","65","N/A"
