"Averaging time data supplied by EarthSense on 23/04/2025"
"Source","Zephyr"
"ID","Zephyr (1762)"
"Site Name","1762"
"Time Period","01/03/2025 00:00 - 31/03/2025 23:59"
"Timestamp","31/03/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3147"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"28-02-2025","17:00:00","2025-02-28T23:00:00+00:00","N/A","N/A","21.7","μg/m³","0","μg/m³","64.82","μg/m³","6.52","μg/m³","8.05","μg/m³","11.38","μg/m³","17.98","μg/m³","13.13","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","26.05","57.66","N/A","N/A","N/A","2","27","N/A"
"28-02-2025","18:00:00","2025-03-01T00:00:00+00:00","N/A","N/A","18.35","μg/m³","0","μg/m³","53.74","μg/m³","8.94","μg/m³","9.78","μg/m³","14.1","μg/m³","7.97","μg/m³","17.39","μg/m³","0.06","mg/m³","N/A","ppm","N/A","ppb","21.09","72.99","N/A","N/A","N/A","2","53","N/A"
"28-02-2025","19:00:00","2025-03-01T01:00:00+00:00","N/A","N/A","27.72","μg/m³","0","μg/m³","49.57","μg/m³","6.33","μg/m³","6.95","μg/m³","10.64","μg/m³","2.17","μg/m³","13","μg/m³","0.22","mg/m³","N/A","ppm","N/A","ppb","18.83","84.04","N/A","N/A","N/A","3","65","N/A"
"28-02-2025","20:00:00","2025-03-01T02:00:00+00:00","N/A","N/A","24.92","μg/m³","0","μg/m³","49.37","μg/m³","8.01","μg/m³","8.67","μg/m³","12.51","μg/m³","0.4","μg/m³","7.67","μg/m³","0.3","mg/m³","N/A","ppm","N/A","ppb","18.21","89.03","N/A","N/A","N/A","3","66","N/A"
"28-02-2025","21:00:00","2025-03-01T03:00:00+00:00","N/A","N/A","14.28","μg/m³","0","μg/m³","57.26","μg/m³","6.54","μg/m³","7.15","μg/m³","10.67","μg/m³","0","μg/m³","1.41","μg/m³","0.2","mg/m³","N/A","ppm","N/A","ppb","17.78","88.33","N/A","N/A","N/A","4","69","N/A"
"28-02-2025","22:00:00","2025-03-01T04:00:00+00:00","N/A","N/A","14.2","μg/m³","0","μg/m³","54.7","μg/m³","7.33","μg/m³","7.99","μg/m³","11.67","μg/m³","0","μg/m³","1.66","μg/m³","0.27","mg/m³","N/A","ppm","N/A","ppb","17.53","88.32","N/A","N/A","N/A","4","69","N/A"
"28-02-2025","23:00:00","2025-03-01T05:00:00+00:00","N/A","N/A","11.46","μg/m³","0","μg/m³","52.81","μg/m³","12.45","μg/m³","13.57","μg/m³","18.56","μg/m³","0","μg/m³","2.16","μg/m³","0.3","mg/m³","N/A","ppm","N/A","ppb","17.38","88.96","N/A","N/A","N/A","4","68","N/A"
"01-03-2025","00:00:00","2025-03-01T06:00:00+00:00","N/A","N/A","8.99","μg/m³","0.13","μg/m³","56.72","μg/m³","8.81","μg/m³","9.7","μg/m³","14.27","μg/m³","0","μg/m³","0.59","μg/m³","0.23","mg/m³","N/A","ppm","N/A","ppb","17.07","88.3","N/A","N/A","N/A","4","69","N/A"
"01-03-2025","01:00:00","2025-03-01T07:00:00+00:00","N/A","N/A","6.16","μg/m³","0.02","μg/m³","57.55","μg/m³","7.61","μg/m³","8.49","μg/m³","12.89","μg/m³","0","μg/m³","0.19","μg/m³","0.18","mg/m³","N/A","ppm","N/A","ppb","16.95","87.55","N/A","N/A","N/A","4","71","N/A"
"01-03-2025","02:00:00","2025-03-01T08:00:00+00:00","N/A","N/A","5.55","μg/m³","0.09","μg/m³","53.68","μg/m³","8.42","μg/m³","9.3","μg/m³","13.67","μg/m³","0","μg/m³","1.17","μg/m³","0.23","mg/m³","N/A","ppm","N/A","ppb","16.47","88.61","N/A","N/A","N/A","4","69","N/A"
"01-03-2025","03:00:00","2025-03-01T09:00:00+00:00","N/A","N/A","5.95","μg/m³","0.2","μg/m³","51.55","μg/m³","9.16","μg/m³","10.05","μg/m³","14.34","μg/m³","0","μg/m³","2.31","μg/m³","0.25","mg/m³","N/A","ppm","N/A","ppb","16.24","89.63","N/A","N/A","N/A","4","71","N/A"
"01-03-2025","04:00:00","2025-03-01T10:00:00+00:00","N/A","N/A","5.52","μg/m³","0.18","μg/m³","46.41","μg/m³","8.8","μg/m³","9.69","μg/m³","13.55","μg/m³","0","μg/m³","3.08","μg/m³","0.27","mg/m³","N/A","ppm","N/A","ppb","15.9","91.4","N/A","N/A","N/A","4","72","N/A"
"01-03-2025","05:00:00","2025-03-01T11:00:00+00:00","N/A","N/A","3.74","μg/m³","0.25","μg/m³","50.27","μg/m³","9.48","μg/m³","10.4","μg/m³","14.54","μg/m³","0","μg/m³","2.02","μg/m³","0.29","mg/m³","N/A","ppm","N/A","ppb","15.72","91.81","N/A","N/A","N/A","4","74","N/A"
"01-03-2025","06:00:00","2025-03-01T12:00:00+00:00","N/A","N/A","2.27","μg/m³","0.03","μg/m³","56.28","μg/m³","8.49","μg/m³","9.27","μg/m³","13.22","μg/m³","0","μg/m³","0.55","μg/m³","0.28","mg/m³","N/A","ppm","N/A","ppb","15.49","91.4","N/A","N/A","N/A","3","75","N/A"
"01-03-2025","07:00:00","2025-03-01T13:00:00+00:00","N/A","N/A","11.77","μg/m³","1.64","μg/m³","53.16","μg/m³","7.78","μg/m³","8.54","μg/m³","12.68","μg/m³","0.05","μg/m³","0.58","μg/m³","0.39","mg/m³","N/A","ppm","N/A","ppb","16.74","88.28","N/A","N/A","N/A","3","72","N/A"
"01-03-2025","08:00:00","2025-03-01T14:00:00+00:00","N/A","N/A","10.1","μg/m³","3.24","μg/m³","63.12","μg/m³","6.98","μg/m³","7.79","μg/m³","11.54","μg/m³","4.08","μg/m³","0","μg/m³","0.21","mg/m³","N/A","ppm","N/A","ppb","20.85","72.8","N/A","N/A","N/A","3","68","N/A"
"01-03-2025","09:00:00","2025-03-01T15:00:00+00:00","N/A","N/A","1.55","μg/m³","2.68","μg/m³","80.18","μg/m³","4.9","μg/m³","6.41","μg/m³","9","μg/m³","8.29","μg/m³","0","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","23.85","57.8","N/A","N/A","N/A","2","61","N/A"
