"Averaging time data supplied by EarthSense on 27/02/2025"
"Source","Zephyr"
"ID","Zephyr (1762)"
"Site Name","1762"
"Time Period","01/01/2025 00:00 - 31/01/2025 23:59"
"Timestamp","31/01/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3147"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-12-2024","18:00:00","2025-01-01T00:00:00+00:00","N/A","N/A","19.21","μg/m³","0","μg/m³","57.86","μg/m³","7.14","μg/m³","7.75","μg/m³","11.18","μg/m³","4.43","μg/m³","11.44","μg/m³","0.3","mg/m³","19.41","84.27","N/A","N/A","N/A","2","54","N/A"
"31-12-2024","19:00:00","2025-01-01T01:00:00+00:00","N/A","N/A","5.67","μg/m³","0.02","μg/m³","64.98","μg/m³","6.84","μg/m³","7.44","μg/m³","10.82","μg/m³","2.97","μg/m³","5.79","μg/m³","0.26","mg/m³","18.74","87.44","N/A","N/A","N/A","2","63","N/A"
"31-12-2024","20:00:00","2025-01-01T02:00:00+00:00","N/A","N/A","3.26","μg/m³","0","μg/m³","65.01","μg/m³","5.87","μg/m³","6.39","μg/m³","9.82","μg/m³","0.9","μg/m³","2.48","μg/m³","0.36","mg/m³","18.05","86.42","N/A","N/A","N/A","3","61","N/A"
"31-12-2024","21:00:00","2025-01-01T03:00:00+00:00","N/A","N/A","2.1","μg/m³","0.03","μg/m³","62.75","μg/m³","9.45","μg/m³","10.27","μg/m³","13.82","μg/m³","0.95","μg/m³","3.69","μg/m³","0.59","mg/m³","17.54","88.07","N/A","N/A","N/A","3","62","N/A"
"31-12-2024","22:00:00","2025-01-01T04:00:00+00:00","N/A","N/A","0.37","μg/m³","0.21","μg/m³","68.69","μg/m³","7","μg/m³","7.61","μg/m³","10.98","μg/m³","0.12","μg/m³","2.03","μg/m³","0.46","mg/m³","17.43","87.88","N/A","N/A","N/A","3","69","N/A"
"31-12-2024","23:00:00","2025-01-01T05:00:00+00:00","N/A","N/A","0","μg/m³","0.01","μg/m³","69.2","μg/m³","5.36","μg/m³","5.86","μg/m³","9.08","μg/m³","0.37","μg/m³","2.33","μg/m³","0.3","mg/m³","17.6","88.03","N/A","N/A","N/A","3","70","N/A"
"01-01-2025","00:00:00","2025-01-01T06:00:00+00:00","N/A","N/A","0","μg/m³","0.04","μg/m³","72.88","μg/m³","5.88","μg/m³","6.38","μg/m³","9.71","μg/m³","0.92","μg/m³","3.19","μg/m³","0.32","mg/m³","17.43","90.3","N/A","N/A","N/A","2","74","N/A"
"01-01-2025","01:00:00","2025-01-01T07:00:00+00:00","N/A","N/A","0","μg/m³","0.02","μg/m³","75.49","μg/m³","9.02","μg/m³","9.71","μg/m³","14.42","μg/m³","0.85","μg/m³","2.41","μg/m³","0.31","mg/m³","17.57","89.96","N/A","N/A","N/A","2","76","N/A"
"01-01-2025","02:00:00","2025-01-01T08:00:00+00:00","N/A","N/A","0","μg/m³","0","μg/m³","75.46","μg/m³","4.9","μg/m³","5.34","μg/m³","9.02","μg/m³","1.29","μg/m³","2.64","μg/m³","0.29","mg/m³","17.43","90.68","N/A","N/A","N/A","2","72","N/A"
"01-01-2025","03:00:00","2025-01-01T09:00:00+00:00","N/A","N/A","0","μg/m³","0.31","μg/m³","71.37","μg/m³","3.79","μg/m³","4.18","μg/m³","7.62","μg/m³","2.03","μg/m³","2.2","μg/m³","0.24","mg/m³","17.18","90.79","N/A","N/A","N/A","3","73","N/A"
"01-01-2025","04:00:00","2025-01-01T10:00:00+00:00","N/A","N/A","0","μg/m³","0.08","μg/m³","80.65","μg/m³","3.71","μg/m³","4.08","μg/m³","7.53","μg/m³","0.67","μg/m³","2.16","μg/m³","0.25","mg/m³","16.81","91.71","N/A","N/A","N/A","3","76","N/A"
"01-01-2025","05:00:00","2025-01-01T11:00:00+00:00","N/A","N/A","0","μg/m³","0.02","μg/m³","91.89","μg/m³","3.94","μg/m³","4.37","μg/m³","8.13","μg/m³","0.9","μg/m³","2.13","μg/m³","0.24","mg/m³","16.98","92.3","N/A","N/A","N/A","3","76","N/A"
"01-01-2025","06:00:00","2025-01-01T12:00:00+00:00","N/A","N/A","0","μg/m³","0.65","μg/m³","93.09","μg/m³","4.04","μg/m³","4.44","μg/m³","7.92","μg/m³","0.21","μg/m³","0.73","μg/m³","0.22","mg/m³","17.18","91.23","N/A","N/A","N/A","3","75","N/A"
"01-01-2025","07:00:00","2025-01-01T13:00:00+00:00","N/A","N/A","0","μg/m³","0.11","μg/m³","77.05","μg/m³","4.23","μg/m³","4.64","μg/m³","8.02","μg/m³","0.49","μg/m³","0.48","μg/m³","0.23","mg/m³","17.57","88.78","N/A","N/A","N/A","3","71","N/A"
"01-01-2025","08:00:00","2025-01-01T14:00:00+00:00","N/A","N/A","3.82","μg/m³","1.17","μg/m³","69.62","μg/m³","2.7","μg/m³","3.35","μg/m³","6.04","μg/m³","6.56","μg/m³","0.01","μg/m³","0.22","mg/m³","21.05","77.86","N/A","N/A","N/A","2","58","N/A"
"01-01-2025","09:00:00","2025-01-01T15:00:00+00:00","N/A","N/A","1.07","μg/m³","1.87","μg/m³","71.68","μg/m³","2.07","μg/m³","3.23","μg/m³","5","μg/m³","10.81","μg/m³","0","μg/m³","0.01","mg/m³","23.91","65.57","N/A","N/A","N/A","1","48","N/A"
"01-01-2025","10:00:00","2025-01-01T16:00:00+00:00","N/A","N/A","2.82","μg/m³","0.42","μg/m³","72.15","μg/m³","1.42","μg/m³","2.86","μg/m³","4","μg/m³","13.6","μg/m³","0.07","μg/m³","0","mg/m³","25.17","60.33","N/A","N/A","N/A","1","39","N/A"
"01-01-2025","11:00:00","2025-01-01T17:00:00+00:00","N/A","N/A","8.76","μg/m³","1.3","μg/m³","73.14","μg/m³","1.39","μg/m³","3.03","μg/m³","3.81","μg/m³","16.72","μg/m³","0.15","μg/m³","0","mg/m³","26.51","55.66","N/A","N/A","N/A","2","38","N/A"
"01-01-2025","12:00:00","2025-01-01T18:00:00+00:00","N/A","N/A","10.66","μg/m³","0.2","μg/m³","74.84","μg/m³","1.52","μg/m³","3.38","μg/m³","3.83","μg/m³","19.31","μg/m³","0.52","μg/m³","0","mg/m³","27.58","50.34","N/A","N/A","N/A","2","18","N/A"
"01-01-2025","13:00:00","2025-01-01T19:00:00+00:00","N/A","N/A","11.43","μg/m³","0.44","μg/m³","77.14","μg/m³","1.54","μg/m³","3.52","μg/m³","3.83","μg/m³","20.91","μg/m³","1.68","μg/m³","0","mg/m³","27.97","46.95","N/A","N/A","N/A","1","11","N/A"
"01-01-2025","14:00:00","2025-01-01T20:00:00+00:00","N/A","N/A","12.49","μg/m³","0","μg/m³","65.27","μg/m³","2.9","μg/m³","4.17","μg/m³","5.71","μg/m³","16.41","μg/m³","17.35","μg/m³","0","mg/m³","24.9","59.63","N/A","N/A","N/A","1","17","N/A"
"01-01-2025","15:00:00","2025-01-01T21:00:00+00:00","N/A","N/A","21.73","μg/m³","0","μg/m³","60.74","μg/m³","2.9","μg/m³","3.74","μg/m³","6.06","μg/m³","10.04","μg/m³","13.62","μg/m³","0.04","mg/m³","22.17","70.26","N/A","N/A","N/A","1","32","N/A"
