"Averaging time data supplied by EarthSense on 23/04/2025"
"Source","Zephyr"
"ID","Zephyr (1735)"
"Site Name","1735"
"Time Period","01/03/2025 00:00 - 31/03/2025 23:59"
"Timestamp","31/03/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3152"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"28-02-2025","17:00:00","2025-02-28T23:00:00+00:00","N/A","N/A","55.23","μg/m³","0","μg/m³","78.33","μg/m³","4.71","μg/m³","7.05","μg/m³","8.69","μg/m³","27.63","μg/m³","20.51","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","30.88","41.51","N/A","N/A","N/A","1","46","N/A"
"28-02-2025","18:00:00","2025-03-01T00:00:00+00:00","N/A","N/A","41.87","μg/m³","0","μg/m³","71.83","μg/m³","6.31","μg/m³","8.38","μg/m³","11.42","μg/m³","22.52","μg/m³","27.58","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","26.36","51.92","N/A","N/A","N/A","2","34","N/A"
"28-02-2025","19:00:00","2025-03-01T01:00:00+00:00","N/A","N/A","37.75","μg/m³","0","μg/m³","67.29","μg/m³","5.77","μg/m³","7.38","μg/m³","10.45","μg/m³","14.83","μg/m³","15.22","μg/m³","0.05","mg/m³","N/A","ppm","N/A","ppb","24.48","59.48","N/A","N/A","N/A","2","43","N/A"
"28-02-2025","20:00:00","2025-03-01T02:00:00+00:00","N/A","N/A","33","μg/m³","0","μg/m³","66.31","μg/m³","6.54","μg/m³","7.91","μg/m³","11.28","μg/m³","10.4","μg/m³","7.99","μg/m³","0.04","mg/m³","N/A","ppm","N/A","ppb","23.7","61.97","N/A","N/A","N/A","2","47","N/A"
"28-02-2025","21:00:00","2025-03-01T03:00:00+00:00","N/A","N/A","29.68","μg/m³","0","μg/m³","65.77","μg/m³","8.74","μg/m³","10.15","μg/m³","14.57","μg/m³","8.47","μg/m³","5.07","μg/m³","0.08","mg/m³","N/A","ppm","N/A","ppb","23.3","63.9","N/A","N/A","N/A","2","48","N/A"
"28-02-2025","22:00:00","2025-03-01T04:00:00+00:00","N/A","N/A","25.61","μg/m³","0","μg/m³","66.58","μg/m³","8.82","μg/m³","10.16","μg/m³","14.64","μg/m³","6.88","μg/m³","2.73","μg/m³","0.06","mg/m³","N/A","ppm","N/A","ppb","23.06","64.2","N/A","N/A","N/A","2","48","N/A"
"28-02-2025","23:00:00","2025-03-01T05:00:00+00:00","N/A","N/A","18.98","μg/m³","0","μg/m³","70","μg/m³","5.51","μg/m³","6.86","μg/m³","9.86","μg/m³","4.06","μg/m³","0.28","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.66","62.61","N/A","N/A","N/A","2","47","N/A"
"01-03-2025","00:00:00","2025-03-01T06:00:00+00:00","N/A","N/A","18.27","μg/m³","0","μg/m³","65.22","μg/m³","6.21","μg/m³","7.51","μg/m³","10.78","μg/m³","4.65","μg/m³","1.11","μg/m³","0.03","mg/m³","N/A","ppm","N/A","ppb","22.21","62.06","N/A","N/A","N/A","2","47","N/A"
"01-03-2025","01:00:00","2025-03-01T07:00:00+00:00","N/A","N/A","16.19","μg/m³","0","μg/m³","69.15","μg/m³","6.54","μg/m³","7.91","μg/m³","11.39","μg/m³","4.15","μg/m³","1.88","μg/m³","0.04","mg/m³","N/A","ppm","N/A","ppb","21.79","62.76","N/A","N/A","N/A","2","48","N/A"
"01-03-2025","02:00:00","2025-03-01T08:00:00+00:00","N/A","N/A","13.24","μg/m³","0","μg/m³","73.25","μg/m³","6.36","μg/m³","7.75","μg/m³","11.19","μg/m³","3.58","μg/m³","1.73","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","21.59","63.68","N/A","N/A","N/A","3","48","N/A"
