"Averaging time data supplied by EarthSense on 23/04/2025"
"Source","Zephyr"
"ID","Zephyr (1776)"
"Site Name","1776"
"Time Period","01/03/2025 00:00 - 31/03/2025 23:59"
"Timestamp","31/03/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC2503"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"28-02-2025","17:00:00","2025-02-28T23:00:00+00:00","N/A","N/A","66.5","μg/m³","0","μg/m³","57.39","μg/m³","2.64","μg/m³","5.23","μg/m³","5.86","μg/m³","19.85","μg/m³","23.42","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","30.37","41.36","N/A","N/A","N/A","2","53","N/A"
"28-02-2025","18:00:00","2025-03-01T00:00:00+00:00","10.023082","-84.111757","45.57","μg/m³","0","μg/m³","59.04","μg/m³","3.94","μg/m³","6.34","μg/m³","8.32","μg/m³","15.83","μg/m³","33.79","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","24.48","53.17","N/A","N/A","N/A","2","62","N/A"
"28-02-2025","19:00:00","2025-03-01T01:00:00+00:00","10.023092","-84.11175","31.27","μg/m³","0","μg/m³","45.14","μg/m³","4.03","μg/m³","5.67","μg/m³","7.95","μg/m³","10.68","μg/m³","17.52","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","21.6","60.96","N/A","N/A","N/A","2","68","N/A"
"28-02-2025","20:00:00","2025-03-01T02:00:00+00:00","N/A","N/A","30.69","μg/m³","0","μg/m³","43.61","μg/m³","4.45","μg/m³","5.97","μg/m³","8.58","μg/m³","8.96","μg/m³","12.57","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","21.01","64.1","N/A","N/A","N/A","2","70","N/A"
"28-02-2025","21:00:00","2025-03-01T03:00:00+00:00","N/A","N/A","24.45","μg/m³","0","μg/m³","39.83","μg/m³","2.69","μg/m³","4.04","μg/m³","6.23","μg/m³","7.56","μg/m³","6.36","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.52","67.45","N/A","N/A","N/A","3","72","N/A"
"28-02-2025","22:00:00","2025-03-01T04:00:00+00:00","N/A","N/A","18.45","μg/m³","0","μg/m³","38.22","μg/m³","2.64","μg/m³","4","μg/m³","6.2","μg/m³","6.2","μg/m³","2.33","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.15","67.61","N/A","N/A","N/A","3","69","N/A"
"28-02-2025","23:00:00","2025-03-01T05:00:00+00:00","N/A","N/A","6.24","μg/m³","0","μg/m³","40.01","μg/m³","4.18","μg/m³","5.72","μg/m³","8.22","μg/m³","3.47","μg/m³","0.08","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.78","64.23","N/A","N/A","N/A","3","67","N/A"
"01-03-2025","00:00:00","2025-03-01T06:00:00+00:00","10.023106","-84.111629","6.75","μg/m³","0","μg/m³","44.02","μg/m³","4.52","μg/m³","6.15","μg/m³","8.8","μg/m³","3.51","μg/m³","0.04","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.82","62.97","N/A","N/A","N/A","3","69","N/A"
"01-03-2025","01:00:00","2025-03-01T07:00:00+00:00","10.023064","-84.111691","1.55","μg/m³","0","μg/m³","47.64","μg/m³","4.87","μg/m³","6.59","μg/m³","9.18","μg/m³","2.24","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.85","59.63","N/A","N/A","N/A","2","72","N/A"
"01-03-2025","02:00:00","2025-03-01T08:00:00+00:00","10.023026","-84.111741","1.91","μg/m³","0","μg/m³","52.65","μg/m³","4.72","μg/m³","6.58","μg/m³","8.97","μg/m³","2.43","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.78","57.48","N/A","N/A","N/A","2","72","N/A"
"01-03-2025","03:00:00","2025-03-01T09:00:00+00:00","10.023017","-84.111733","5.71","μg/m³","0","μg/m³","53.07","μg/m³","4.03","μg/m³","5.92","μg/m³","8.05","μg/m³","3.37","μg/m³","1.19","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.77","57.04","N/A","N/A","N/A","2","75","N/A"
"01-03-2025","04:00:00","2025-03-01T10:00:00+00:00","10.023006","-84.111732","10.7","μg/m³","0","μg/m³","47.72","μg/m³","3.29","μg/m³","5.05","μg/m³","6.93","μg/m³","4.45","μg/m³","3.48","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.49","59.06","N/A","N/A","N/A","3","75","N/A"
"01-03-2025","05:00:00","2025-03-01T11:00:00+00:00","10.023024","-84.111719","10.27","μg/m³","0","μg/m³","41.28","μg/m³","1.85","μg/m³","3.49","μg/m³","4.97","μg/m³","4.51","μg/m³","3.45","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.43","60.91","N/A","N/A","N/A","2","77","N/A"
"01-03-2025","06:00:00","2025-03-01T12:00:00+00:00","10.023025","-84.111735","0","μg/m³","0.07","μg/m³","39.89","μg/m³","1.47","μg/m³","3.42","μg/m³","4.17","μg/m³","1.83","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.48","54.17","N/A","N/A","N/A","2","81","N/A"
"01-03-2025","07:00:00","2025-03-01T13:00:00+00:00","10.023011","-84.111774","0.07","μg/m³","0.13","μg/m³","46.96","μg/m³","0.53","μg/m³","2.66","μg/m³","2.96","μg/m³","1.37","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.08","49.21","N/A","N/A","N/A","2","74","N/A"
"01-03-2025","08:00:00","2025-03-01T14:00:00+00:00","10.023024","-84.111773","2.79","μg/m³","0","μg/m³","55.62","μg/m³","0.07","μg/m³","2.55","μg/m³","2.81","μg/m³","3.56","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","23.63","40.41","N/A","N/A","N/A","3","59","N/A"
"01-03-2025","09:00:00","2025-03-01T15:00:00+00:00","10.023042","-84.111739","15.62","μg/m³","0","μg/m³","62.47","μg/m³","0.05","μg/m³","2.79","μg/m³","3.07","μg/m³","10.21","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","29.14","33.98","N/A","N/A","N/A","3","53","N/A"
"01-03-2025","10:00:00","2025-03-01T16:00:00+00:00","10.023038","-84.111726","33.13","μg/m³","0","μg/m³","77.58","μg/m³","0.14","μg/m³","3.1","μg/m³","3.41","μg/m³","13.64","μg/m³","0.04","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","30.73","30.51","N/A","N/A","N/A","3","46","N/A"
"01-03-2025","11:00:00","2025-03-01T17:00:00+00:00","N/A","N/A","35.4","μg/m³","0","μg/m³","81.82","μg/m³","0.27","μg/m³","3.26","μg/m³","3.58","μg/m³","16.08","μg/m³","0.82","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","30.8","30.24","N/A","N/A","N/A","3","43","N/A"
"01-03-2025","12:00:00","2025-03-01T18:00:00+00:00","N/A","N/A","42.75","μg/m³","0","μg/m³","85.94","μg/m³","0.63","μg/m³","3.48","μg/m³","3.83","μg/m³","17.93","μg/m³","16.81","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","29.44","33.32","N/A","N/A","N/A","3","40","N/A"
"01-03-2025","13:00:00","2025-03-01T19:00:00+00:00","N/A","N/A","44.76","μg/m³","0","μg/m³","76.31","μg/m³","1.57","μg/m³","4.24","μg/m³","4.65","μg/m³","17.93","μg/m³","16.15","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.95","37.51","N/A","N/A","N/A","3","37","N/A"
"01-03-2025","14:00:00","2025-03-01T20:00:00+00:00","N/A","N/A","41.3","μg/m³","0","μg/m³","71.87","μg/m³","2.57","μg/m³","5.25","μg/m³","5.71","μg/m³","16.72","μg/m³","3.13","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","29.73","37.17","N/A","N/A","N/A","3","32","N/A"
"01-03-2025","15:00:00","2025-03-01T21:00:00+00:00","N/A","N/A","55.17","μg/m³","0","μg/m³","70.86","μg/m³","3.2","μg/m³","5.96","μg/m³","6.43","μg/m³","17.57","μg/m³","1.38","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","31.33","35.5","N/A","N/A","N/A","3","27","N/A"
"01-03-2025","16:00:00","2025-03-01T22:00:00+00:00","N/A","N/A","97.19","μg/m³","0","μg/m³","70.61","μg/m³","3.49","μg/m³","6.44","μg/m³","6.87","μg/m³","20.94","μg/m³","0.03","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","35.44","30.09","N/A","N/A","N/A","3","31","N/A"
"01-03-2025","17:00:00","2025-03-01T23:00:00+00:00","N/A","N/A","100.76","μg/m³","0","μg/m³","71.42","μg/m³","3.62","μg/m³","6.59","μg/m³","7.18","μg/m³","23.81","μg/m³","17.38","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","34.58","30.95","N/A","N/A","N/A","3","42","N/A"
"01-03-2025","18:00:00","2025-03-02T00:00:00+00:00","10.023092","-84.111801","51.48","μg/m³","0","μg/m³","66.94","μg/m³","5.2","μg/m³","7.98","μg/m³","9.95","μg/m³","20.24","μg/m³","44.18","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","26.41","42.12","N/A","N/A","N/A","2","57","N/A"
"01-03-2025","19:00:00","2025-03-02T01:00:00+00:00","10.023086","-84.1118","37.43","μg/m³","0","μg/m³","49.27","μg/m³","4","μg/m³","6.26","μg/m³","8.12","μg/m³","13.83","μg/m³","27.54","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.22","51.61","N/A","N/A","N/A","2","69","N/A"
"01-03-2025","20:00:00","2025-03-02T02:00:00+00:00","N/A","N/A","46.56","μg/m³","0","μg/m³","35","μg/m³","2.86","μg/m³","4.48","μg/m³","6.41","μg/m³","12.7","μg/m³","27.56","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.79","61.36","N/A","N/A","N/A","2","70","N/A"
"01-03-2025","21:00:00","2025-03-02T03:00:00+00:00","N/A","N/A","47.29","μg/m³","0","μg/m³","24.24","μg/m³","0.65","μg/m³","1.88","μg/m³","3.51","μg/m³","12.47","μg/m³","23.86","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.97","69.65","N/A","N/A","N/A","2","72","N/A"
"01-03-2025","22:00:00","2025-03-02T04:00:00+00:00","N/A","N/A","28.38","μg/m³","0","μg/m³","20.66","μg/m³","0.38","μg/m³","1.57","μg/m³","3.25","μg/m³","8.3","μg/m³","6.26","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.65","70.77","N/A","N/A","N/A","2","72","N/A"
"01-03-2025","23:00:00","2025-03-02T05:00:00+00:00","N/A","N/A","15.71","μg/m³","0","μg/m³","24.79","μg/m³","0.08","μg/m³","1.32","μg/m³","2.67","μg/m³","5.55","μg/m³","0.62","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.66","68.51","N/A","N/A","N/A","2","76","N/A"
"02-03-2025","00:00:00","2025-03-02T06:00:00+00:00","N/A","N/A","29.73","μg/m³","0","μg/m³","28.77","μg/m³","0.35","μg/m³","1.58","μg/m³","3.27","μg/m³","7.4","μg/m³","9.19","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.24","70.99","N/A","N/A","N/A","2","79","N/A"
"02-03-2025","01:00:00","2025-03-02T07:00:00+00:00","N/A","N/A","22.45","μg/m³","0","μg/m³","21.51","μg/m³","0.17","μg/m³","1.16","μg/m³","3.22","μg/m³","8.8","μg/m³","5.8","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","18.54","76.18","N/A","N/A","N/A","2","80","N/A"
"02-03-2025","02:00:00","2025-03-02T08:00:00+00:00","N/A","N/A","10.75","μg/m³","0","μg/m³","24.61","μg/m³","0.05","μg/m³","1.25","μg/m³","2.82","μg/m³","4.21","μg/m³","0.49","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","18.78","70.97","N/A","N/A","N/A","2","79","N/A"
"02-03-2025","03:00:00","2025-03-02T09:00:00+00:00","N/A","N/A","11.12","μg/m³","0","μg/m³","29.99","μg/m³","0.01","μg/m³","1.3","μg/m³","2.63","μg/m³","3.28","μg/m³","0.89","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","18.35","68.39","N/A","N/A","N/A","2","80","N/A"
"02-03-2025","04:00:00","2025-03-02T10:00:00+00:00","N/A","N/A","21.27","μg/m³","0","μg/m³","28.63","μg/m³","0.17","μg/m³","1.36","μg/m³","3.17","μg/m³","5.87","μg/m³","5.43","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","17.53","72.93","N/A","N/A","N/A","2","79","N/A"
"02-03-2025","05:00:00","2025-03-02T11:00:00+00:00","N/A","N/A","21.93","μg/m³","0","μg/m³","20.83","μg/m³","0.49","μg/m³","1.42","μg/m³","3.73","μg/m³","8.29","μg/m³","4.89","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","16.99","78.08","N/A","N/A","N/A","2","79","N/A"
"02-03-2025","06:00:00","2025-03-02T12:00:00+00:00","N/A","N/A","19.42","μg/m³","0","μg/m³","25.65","μg/m³","0.56","μg/m³","1.56","μg/m³","3.8","μg/m³","7.19","μg/m³","1.91","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","17.43","76.91","N/A","N/A","N/A","2","79","N/A"
"02-03-2025","07:00:00","2025-03-02T13:00:00+00:00","N/A","N/A","20.09","μg/m³","0","μg/m³","23.45","μg/m³","0.37","μg/m³","1.3","μg/m³","3.51","μg/m³","9.12","μg/m³","2.22","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","18.4","77.4","N/A","N/A","N/A","2","72","N/A"
"02-03-2025","08:00:00","2025-03-02T14:00:00+00:00","N/A","N/A","9.3","μg/m³","0","μg/m³","20.26","μg/m³","0.01","μg/m³","1.32","μg/m³","2.49","μg/m³","6.76","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","22.44","66.83","N/A","N/A","N/A","2","63","N/A"
"02-03-2025","09:00:00","2025-03-02T15:00:00+00:00","N/A","N/A","3.35","μg/m³","0.27","μg/m³","33.4","μg/m³","0.35","μg/m³","2.54","μg/m³","2.82","μg/m³","6.81","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.08","47.72","N/A","N/A","N/A","3","51","N/A"
"02-03-2025","10:00:00","2025-03-02T16:00:00+00:00","N/A","N/A","16.06","μg/m³","0","μg/m³","56.7","μg/m³","0.13","μg/m³","2.6","μg/m³","2.85","μg/m³","10.24","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","29.08","41.7","N/A","N/A","N/A","3","44","N/A"
"02-03-2025","11:00:00","2025-03-02T17:00:00+00:00","N/A","N/A","25.59","μg/m³","0","μg/m³","67.52","μg/m³","0.16","μg/m³","2.67","μg/m³","2.93","μg/m³","13.12","μg/m³","5.42","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.8","39.74","N/A","N/A","N/A","4","40","N/A"
"02-03-2025","12:00:00","2025-03-02T18:00:00+00:00","N/A","N/A","27.98","μg/m³","0","μg/m³","66.11","μg/m³","0.48","μg/m³","2.84","μg/m³","3.12","μg/m³","13.81","μg/m³","4.53","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","27.94","42.55","N/A","N/A","N/A","4","40","N/A"
"02-03-2025","13:00:00","2025-03-02T19:00:00+00:00","N/A","N/A","20.51","μg/m³","0","μg/m³","65.5","μg/m³","0.27","μg/m³","2.84","μg/m³","3.13","μg/m³","12.81","μg/m³","0.07","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.85","38.96","N/A","N/A","N/A","4","36","N/A"
"02-03-2025","14:00:00","2025-03-02T20:00:00+00:00","N/A","N/A","25.66","μg/m³","0","μg/m³","73.59","μg/m³","0.44","μg/m³","3.09","μg/m³","3.4","μg/m³","14.03","μg/m³","1.06","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.87","37.26","N/A","N/A","N/A","4","31","N/A"
