"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1776)"
"Site Name","1776"
"Time Period","01/04/2025 00:00 - 30/04/2025 23:59"
"Timestamp","30/04/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC2503"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-03-2025","17:00:00","2025-03-31T23:00:00+00:00","N/A","N/A","60.91","μg/m³","0","μg/m³","56.94","μg/m³","18.76","μg/m³","23.37","μg/m³","37.74","μg/m³","14.12","μg/m³","10.54","μg/m³","0","mg/m³","27.5","59.57","N/A","N/A","N/A","1","32","N/A"
"31-03-2025","18:00:00","2025-04-01T00:00:00+00:00","N/A","N/A","66.02","μg/m³","0","μg/m³","36.76","μg/m³","17.16","μg/m³","20.87","μg/m³","32.79","μg/m³","12.85","μg/m³","20.44","μg/m³","0","mg/m³","25.35","65.54","N/A","N/A","N/A","1","43","N/A"
"31-03-2025","19:00:00","2025-04-01T01:00:00+00:00","N/A","N/A","66.7","μg/m³","0","μg/m³","17.45","μg/m³","16.53","μg/m³","19.5","μg/m³","29.95","μg/m³","10.6","μg/m³","26.6","μg/m³","0","mg/m³","22.84","76.92","N/A","N/A","N/A","1","52","N/A"
"31-03-2025","20:00:00","2025-04-01T02:00:00+00:00","10.023038","-84.11178","40.96","μg/m³","0","μg/m³","1.56","μg/m³","18.41","μg/m³","20.95","μg/m³","32.02","μg/m³","8.9","μg/m³","17.68","μg/m³","0","mg/m³","21.57","81.66","N/A","N/A","N/A","1","64","N/A"
"31-03-2025","21:00:00","2025-04-01T03:00:00+00:00","10.023099","-84.111748","47.21","μg/m³","0.25","μg/m³","0","μg/m³","16.14","μg/m³","18.17","μg/m³","27.04","μg/m³","3.03","μg/m³","11.49","μg/m³","0","mg/m³","20.73","84.65","N/A","N/A","N/A","1","79","N/A"
"31-03-2025","22:00:00","2025-04-01T04:00:00+00:00","10.023103","-84.111751","30.6","μg/m³","0","μg/m³","0","μg/m³","8.83","μg/m³","10.46","μg/m³","15.58","μg/m³","4.17","μg/m³","4.17","μg/m³","0","mg/m³","20.75","82.79","N/A","N/A","N/A","2","66","N/A"
"31-03-2025","23:00:00","2025-04-01T05:00:00+00:00","10.023075","-84.111722","18.33","μg/m³","0.01","μg/m³","0.22","μg/m³","3.81","μg/m³","4.97","μg/m³","8.14","μg/m³","3.62","μg/m³","3.5","μg/m³","0","mg/m³","19.28","77.82","N/A","N/A","N/A","1","66","N/A"
"01-04-2025","00:00:00","2025-04-01T06:00:00+00:00","10.023065","-84.111724","28.98","μg/m³","0","μg/m³","0.01","μg/m³","8.63","μg/m³","10.7","μg/m³","15.42","μg/m³","1.38","μg/m³","8.25","μg/m³","0","mg/m³","18.16","83.49","N/A","N/A","N/A","1","79","N/A"
"01-04-2025","01:00:00","2025-04-01T07:00:00+00:00","10.023039","-84.11173","9.57","μg/m³","0.78","μg/m³","6.16","μg/m³","5.5","μg/m³","7.16","μg/m³","10.96","μg/m³","2.09","μg/m³","0.18","μg/m³","0","mg/m³","18.23","79","N/A","N/A","N/A","2","81","N/A"
"01-04-2025","02:00:00","2025-04-01T08:00:00+00:00","10.023022","-84.111712","13.17","μg/m³","0","μg/m³","3.99","μg/m³","5.45","μg/m³","7.16","μg/m³","10.97","μg/m³","3.08","μg/m³","3.41","μg/m³","0","mg/m³","17.68","78.69","N/A","N/A","N/A","2","81","N/A"
"01-04-2025","03:00:00","2025-04-01T09:00:00+00:00","10.023017","-84.111717","19.12","μg/m³","0","μg/m³","0.95","μg/m³","8.54","μg/m³","11.13","μg/m³","16.01","μg/m³","0.57","μg/m³","4.9","μg/m³","0","mg/m³","16.42","84.63","N/A","N/A","N/A","2","74","N/A"
"01-04-2025","04:00:00","2025-04-01T10:00:00+00:00","10.023004","-84.111731","9.34","μg/m³","0","μg/m³","17.09","μg/m³","5.81","μg/m³","7.51","μg/m³","11.42","μg/m³","0.87","μg/m³","0.33","μg/m³","0","mg/m³","17.37","81.17","N/A","N/A","N/A","2","70","N/A"
"01-04-2025","05:00:00","2025-04-01T11:00:00+00:00","10.023003","-84.111736","0.5","μg/m³","0.02","μg/m³","23.46","μg/m³","2.94","μg/m³","4.33","μg/m³","6.8","μg/m³","1.99","μg/m³","0","μg/m³","0","mg/m³","19.78","70.13","N/A","N/A","N/A","2","65","N/A"
"01-04-2025","06:00:00","2025-04-01T12:00:00+00:00","10.023005","-84.111744","9.94","μg/m³","0","μg/m³","22.71","μg/m³","2.72","μg/m³","3.93","μg/m³","6.29","μg/m³","3.8","μg/m³","1.13","μg/m³","0","mg/m³","19.34","70.81","N/A","N/A","N/A","2","68","N/A"
"01-04-2025","07:00:00","2025-04-01T13:00:00+00:00","10.023007","-84.111732","26.68","μg/m³","0","μg/m³","4.56","μg/m³","3.32","μg/m³","4.41","μg/m³","7.01","μg/m³","7.57","μg/m³","5.88","μg/m³","0.01","mg/m³","20.4","71.81","N/A","N/A","N/A","2","66","N/A"
"01-04-2025","08:00:00","2025-04-01T14:00:00+00:00","10.023012","-84.111737","26.9","μg/m³","0","μg/m³","13.26","μg/m³","2.08","μg/m³","4.35","μg/m³","5.05","μg/m³","10.55","μg/m³","0","μg/m³","0.05","mg/m³","30.45","45.63","N/A","N/A","N/A","2","60","N/A"
