"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1735)"
"Site Name","1735"
"Time Period","01/04/2025 00:00 - 30/04/2025 23:59"
"Timestamp","30/04/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3152"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-03-2025","17:00:00","2025-03-31T23:00:00+00:00","N/A","N/A","56.83","μg/m³","0","μg/m³","84.02","μg/m³","21.51","μg/m³","24.91","μg/m³","40.94","μg/m³","22.76","μg/m³","23.09","μg/m³","0","mg/m³","28.7","59.14","N/A","N/A","N/A","0","242","N/A"
"31-03-2025","18:00:00","2025-04-01T00:00:00+00:00","N/A","N/A","44.12","μg/m³","0","μg/m³","73.64","μg/m³","19.17","μg/m³","22.3","μg/m³","35.65","μg/m³","15.97","μg/m³","9.18","μg/m³","0.03","mg/m³","27.01","62.52","N/A","N/A","N/A","0","271","N/A"
"31-03-2025","19:00:00","2025-04-01T01:00:00+00:00","N/A","N/A","53.74","μg/m³","0","μg/m³","48.51","μg/m³","9.6","μg/m³","11.96","μg/m³","17.1","μg/m³","12.11","μg/m³","8.3","μg/m³","0.17","mg/m³","25.43","63.04","N/A","N/A","N/A","0","15","N/A"
"31-03-2025","20:00:00","2025-04-01T02:00:00+00:00","N/A","N/A","44.29","μg/m³","0","μg/m³","48.15","μg/m³","6.58","μg/m³","8.21","μg/m³","11.79","μg/m³","10.62","μg/m³","5.79","μg/m³","0.23","mg/m³","24.76","64.88","N/A","N/A","N/A","1","57","N/A"
"31-03-2025","21:00:00","2025-04-01T03:00:00+00:00","N/A","N/A","35.29","μg/m³","0","μg/m³","54.89","μg/m³","4.66","μg/m³","6.4","μg/m³","9.35","μg/m³","9.56","μg/m³","4.46","μg/m³","0.01","mg/m³","24.42","65.45","N/A","N/A","N/A","1","60","N/A"
"31-03-2025","22:00:00","2025-04-01T04:00:00+00:00","N/A","N/A","23.42","μg/m³","0","μg/m³","51.92","μg/m³","5.26","μg/m³","6.84","μg/m³","9.8","μg/m³","6.08","μg/m³","2.12","μg/m³","0","mg/m³","23.68","64.26","N/A","N/A","N/A","1","35","N/A"
"31-03-2025","23:00:00","2025-04-01T05:00:00+00:00","N/A","N/A","25.51","μg/m³","0","μg/m³","49.88","μg/m³","6.24","μg/m³","7.78","μg/m³","11.07","μg/m³","6.55","μg/m³","2.99","μg/m³","0.06","mg/m³","22.97","61.77","N/A","N/A","N/A","2","36","N/A"
"01-04-2025","00:00:00","2025-04-01T06:00:00+00:00","N/A","N/A","16.66","μg/m³","0","μg/m³","63.44","μg/m³","4.64","μg/m³","6.39","μg/m³","8.88","μg/m³","4.25","μg/m³","0.87","μg/m³","0","mg/m³","22.82","58.19","N/A","N/A","N/A","2","39","N/A"
"01-04-2025","01:00:00","2025-04-01T07:00:00+00:00","N/A","N/A","14.86","μg/m³","0","μg/m³","68.04","μg/m³","5.32","μg/m³","6.74","μg/m³","9.66","μg/m³","6.19","μg/m³","4.09","μg/m³","0","mg/m³","22.56","61.51","N/A","N/A","N/A","2","46","N/A"
"01-04-2025","02:00:00","2025-04-01T08:00:00+00:00","N/A","N/A","14.19","μg/m³","0","μg/m³","68.93","μg/m³","5.14","μg/m³","6.83","μg/m³","9.73","μg/m³","5.95","μg/m³","0.88","μg/m³","0","mg/m³","22.82","61.18","N/A","N/A","N/A","2","49","N/A"
