"Averaging time data supplied by EarthSense on 27/02/2025"
"Source","Zephyr"
"ID","Zephyr (1777)"
"Site Name","1777"
"Time Period","01/01/2025 00:00 - 31/01/2025 23:59"
"Timestamp","31/01/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3050"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-12-2024","18:00:00","2025-01-01T00:00:00+00:00","N/A","N/A","75.14","μg/m³","0","μg/m³","44.72","μg/m³","9.22","μg/m³","10.63","μg/m³","15.45","μg/m³","16.78","μg/m³","20.29","μg/m³","0","mg/m³","23.87","81.08","N/A","N/A","N/A","2","48","N/A"
"31-12-2024","19:00:00","2025-01-01T01:00:00+00:00","N/A","N/A","59.36","μg/m³","0","μg/m³","26.6","μg/m³","12.91","μg/m³","14.08","μg/m³","19.92","μg/m³","15.46","μg/m³","10.61","μg/m³","0","mg/m³","23.1","84.42","N/A","N/A","N/A","2","42","N/A"
"31-12-2024","20:00:00","2025-01-01T02:00:00+00:00","N/A","N/A","50.11","μg/m³","0","μg/m³","14.25","μg/m³","16.62","μg/m³","17.61","μg/m³","26.09","μg/m³","15.76","μg/m³","6.25","μg/m³","0.09","mg/m³","22.78","82.65","N/A","N/A","N/A","2","44","N/A"
"31-12-2024","21:00:00","2025-01-01T03:00:00+00:00","N/A","N/A","12.67","μg/m³","0","μg/m³","28.04","μg/m³","8.34","μg/m³","9.56","μg/m³","14.07","μg/m³","13.32","μg/m³","0","μg/m³","0","mg/m³","22.56","71.99","N/A","N/A","N/A","3","47","N/A"
"31-12-2024","22:00:00","2025-01-01T04:00:00+00:00","N/A","N/A","16.83","μg/m³","0","μg/m³","39.44","μg/m³","5.48","μg/m³","7.08","μg/m³","10.51","μg/m³","12.86","μg/m³","0.29","μg/m³","0","mg/m³","22.52","68.58","N/A","N/A","N/A","2","49","N/A"
"31-12-2024","23:00:00","2025-01-01T05:00:00+00:00","N/A","N/A","26.6","μg/m³","0","μg/m³","36.19","μg/m³","5.22","μg/m³","6.64","μg/m³","10.01","μg/m³","12.6","μg/m³","3.52","μg/m³","0","mg/m³","22.27","68.72","N/A","N/A","N/A","2","49","N/A"
"01-01-2025","00:00:00","2025-01-01T06:00:00+00:00","N/A","N/A","28.39","μg/m³","0","μg/m³","35.06","μg/m³","5.01","μg/m³","6.39","μg/m³","9.75","μg/m³","13.16","μg/m³","5.89","μg/m³","0","mg/m³","22.15","70.72","N/A","N/A","N/A","2","46","N/A"
"01-01-2025","01:00:00","2025-01-01T07:00:00+00:00","N/A","N/A","40.41","μg/m³","0","μg/m³","15.89","μg/m³","13.11","μg/m³","14.63","μg/m³","21.54","μg/m³","14.81","μg/m³","11.67","μg/m³","0","mg/m³","21.75","75.52","N/A","N/A","N/A","2","51","N/A"
"01-01-2025","02:00:00","2025-01-01T08:00:00+00:00","N/A","N/A","45.15","μg/m³","0","μg/m³","3.73","μg/m³","15.84","μg/m³","17.41","μg/m³","26.48","μg/m³","14.77","μg/m³","11.63","μg/m³","0.07","mg/m³","20.88","79.95","N/A","N/A","N/A","2","48","N/A"
"01-01-2025","03:00:00","2025-01-01T09:00:00+00:00","N/A","N/A","37.18","μg/m³","0","μg/m³","2.77","μg/m³","13.01","μg/m³","14.58","μg/m³","21.46","μg/m³","14.44","μg/m³","8.1","μg/m³","0.07","mg/m³","20.62","80.26","N/A","N/A","N/A","2","47","N/A"
