"Averaging time data supplied by EarthSense on 23/04/2025"
"Source","Zephyr"
"ID","Zephyr (1775)"
"Site Name","1775"
"Time Period","01/03/2025 00:00 - 31/03/2025 23:59"
"Timestamp","31/03/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3150"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"28-02-2025","17:00:00","2025-02-28T23:00:00+00:00","N/A","N/A","87.25","μg/m³","0","μg/m³","67.86","μg/m³","3.32","μg/m³","6.11","μg/m³","7.04","μg/m³","37.83","μg/m³","36.36","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","35","33.01","N/A","N/A","N/A","1","46","N/A"
"28-02-2025","18:00:00","2025-03-01T00:00:00+00:00","N/A","N/A","48.91","μg/m³","0","μg/m³","63.4","μg/m³","5.65","μg/m³","8.13","μg/m³","10.95","μg/m³","28.88","μg/m³","39.5","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","28.17","45.38","N/A","N/A","N/A","2","34","N/A"
"28-02-2025","19:00:00","2025-03-01T01:00:00+00:00","N/A","N/A","44.81","μg/m³","0","μg/m³","61.7","μg/m³","5.41","μg/m³","7","μg/m³","10.12","μg/m³","18.37","μg/m³","22.73","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","24.53","56.57","N/A","N/A","N/A","2","43","N/A"
"28-02-2025","20:00:00","2025-03-01T02:00:00+00:00","N/A","N/A","37.09","μg/m³","0","μg/m³","61.99","μg/m³","5.54","μg/m³","6.85","μg/m³","10.2","μg/m³","12.15","μg/m³","12.36","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","23.43","61.59","N/A","N/A","N/A","2","47","N/A"
"28-02-2025","21:00:00","2025-03-01T03:00:00+00:00","N/A","N/A","30.41","μg/m³","0","μg/m³","65.38","μg/m³","5.69","μg/m³","6.93","μg/m³","10.42","μg/m³","8.19","μg/m³","5.16","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","22.95","64.19","N/A","N/A","N/A","2","48","N/A"
"28-02-2025","22:00:00","2025-03-01T04:00:00+00:00","N/A","N/A","24.67","μg/m³","0","μg/m³","65.25","μg/m³","6.38","μg/m³","7.55","μg/m³","11.31","μg/m³","6.13","μg/m³","2.5","μg/m³","0.02","mg/m³","N/A","ppm","N/A","ppb","22.61","65.05","N/A","N/A","N/A","2","48","N/A"
"28-02-2025","23:00:00","2025-03-01T05:00:00+00:00","N/A","N/A","17.46","μg/m³","0","μg/m³","66.5","μg/m³","5.95","μg/m³","7.38","μg/m³","11.05","μg/m³","3.65","μg/m³","0.19","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","22.22","62.52","N/A","N/A","N/A","2","47","N/A"
"01-03-2025","00:00:00","2025-03-01T06:00:00+00:00","N/A","N/A","13.22","μg/m³","0","μg/m³","68.33","μg/m³","5.83","μg/m³","7.34","μg/m³","11.06","μg/m³","3.76","μg/m³","0.25","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","21.94","62.24","N/A","N/A","N/A","2","47","N/A"
"01-03-2025","01:00:00","2025-03-01T07:00:00+00:00","N/A","N/A","13.58","μg/m³","0","μg/m³","69.71","μg/m³","6.19","μg/m³","7.63","μg/m³","11.36","μg/m³","4.07","μg/m³","0.69","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","21.92","61.68","N/A","N/A","N/A","2","48","N/A"
"01-03-2025","02:00:00","2025-03-01T08:00:00+00:00","N/A","N/A","11.13","μg/m³","0","μg/m³","69.42","μg/m³","7.14","μg/m³","8.72","μg/m³","13.02","μg/m³","3.14","μg/m³","1.17","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","21.69","60.68","N/A","N/A","N/A","3","48","N/A"
