"Averaging time data supplied by EarthSense on 27/08/2025"
"Source","Zephyr"
"ID","Zephyr (1735)"
"Site Name","1735"
"Time Period","01/02/2025 00:00 - 28/02/2025 23:59"
"Timestamp","28/02/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3152"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-01-2025","17:00:00","2025-01-31T23:00:00+00:00","N/A","N/A","43.79","μg/m³","0","μg/m³","68","μg/m³","1.7","μg/m³","3.5","μg/m³","4.27","μg/m³","20.29","μg/m³","16.72","μg/m³","0.02","mg/m³","N/A","ppm","N/A","ppb","27.48","53.12","N/A","N/A","N/A","1","26","N/A"
"31-01-2025","18:00:00","2025-02-01T00:00:00+00:00","N/A","N/A","47.66","μg/m³","0","μg/m³","58.42","μg/m³","2.99","μg/m³","4.37","μg/m³","6.32","μg/m³","16.9","μg/m³","18.47","μg/m³","0.2","mg/m³","N/A","ppm","N/A","ppb","25.25","61.35","N/A","N/A","N/A","2","37","N/A"
"31-01-2025","19:00:00","2025-02-01T01:00:00+00:00","N/A","N/A","37.57","μg/m³","0","μg/m³","57.67","μg/m³","0.96","μg/m³","1.86","μg/m³","3.97","μg/m³","12.88","μg/m³","20.59","μg/m³","0.16","mg/m³","N/A","ppm","N/A","ppb","22.6","73.86","N/A","N/A","N/A","2","46","N/A"
"31-01-2025","20:00:00","2025-02-01T02:00:00+00:00","N/A","N/A","43.26","μg/m³","0","μg/m³","54.69","μg/m³","2","μg/m³","2.7","μg/m³","5.2","μg/m³","7.84","μg/m³","8.65","μg/m³","0.34","mg/m³","N/A","ppm","N/A","ppb","22.23","77.39","N/A","N/A","N/A","2","45","N/A"
"31-01-2025","21:00:00","2025-02-01T03:00:00+00:00","N/A","N/A","29.68","μg/m³","0","μg/m³","54.99","μg/m³","4.92","μg/m³","5.66","μg/m³","9.01","μg/m³","6.05","μg/m³","1.93","μg/m³","0.21","mg/m³","N/A","ppm","N/A","ppb","22.47","76.63","N/A","N/A","N/A","2","47","N/A"
"31-01-2025","22:00:00","2025-02-01T04:00:00+00:00","N/A","N/A","26.11","μg/m³","0","μg/m³","62.23","μg/m³","4.01","μg/m³","4.81","μg/m³","7.77","μg/m³","5.84","μg/m³","2.25","μg/m³","0.09","mg/m³","N/A","ppm","N/A","ppb","22.86","74.42","N/A","N/A","N/A","2","46","N/A"
"31-01-2025","23:00:00","2025-02-01T05:00:00+00:00","N/A","N/A","22.84","μg/m³","0","μg/m³","67.77","μg/m³","2.06","μg/m³","2.99","μg/m³","5.27","μg/m³","4.11","μg/m³","0.2","μg/m³","0.07","mg/m³","N/A","ppm","N/A","ppb","23.03","72.11","N/A","N/A","N/A","2","48","N/A"
"01-02-2025","00:00:00","2025-02-01T06:00:00+00:00","N/A","N/A","19.33","μg/m³","0","μg/m³","69.44","μg/m³","1.53","μg/m³","2.58","μg/m³","4.61","μg/m³","5.38","μg/m³","1.12","μg/m³","0.01","mg/m³","N/A","ppm","N/A","ppb","23.13","71.14","N/A","N/A","N/A","2","49","N/A"
"01-02-2025","01:00:00","2025-02-01T07:00:00+00:00","N/A","N/A","17.28","μg/m³","0","μg/m³","74.31","μg/m³","2.04","μg/m³","3.12","μg/m³","5.24","μg/m³","4.85","μg/m³","0.37","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","23.11","69.89","N/A","N/A","N/A","3","49","N/A"
"01-02-2025","02:00:00","2025-02-01T08:00:00+00:00","N/A","N/A","15.94","μg/m³","0","μg/m³","77.45","μg/m³","4.66","μg/m³","5.81","μg/m³","8.9","μg/m³","5.09","μg/m³","1.56","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","23.01","69.42","N/A","N/A","N/A","2","48","N/A"
