"Averaging time data supplied by EarthSense on 27/08/2025"
"Source","Zephyr"
"ID","Zephyr (1776)"
"Site Name","1776"
"Time Period","01/02/2025 00:00 - 28/02/2025 23:59"
"Timestamp","28/02/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC2503"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","CO2 Concentration","CO2 Unit","TVOC Concentration","TVOC Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"31-01-2025","17:00:00","2025-01-31T23:00:00+00:00","10.023059","-84.111703","44.69","μg/m³","0","μg/m³","49.7","μg/m³","0.08","μg/m³","1.87","μg/m³","2.04","μg/m³","15.85","μg/m³","22.53","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","25.76","55.19","N/A","N/A","N/A","2","50","N/A"
"31-01-2025","18:00:00","2025-02-01T00:00:00+00:00","N/A","N/A","46.36","μg/m³","0","μg/m³","45.47","μg/m³","0.38","μg/m³","1.93","μg/m³","2.96","μg/m³","13.25","μg/m³","25.57","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","23.52","63.2","N/A","N/A","N/A","2","57","N/A"
"31-01-2025","19:00:00","2025-02-01T01:00:00+00:00","N/A","N/A","57.63","μg/m³","0","μg/m³","23.1","μg/m³","0.23","μg/m³","1.06","μg/m³","3.27","μg/m³","7.37","μg/m³","29.5","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.98","77.95","N/A","N/A","N/A","2","62","N/A"
"31-01-2025","20:00:00","2025-02-01T02:00:00+00:00","N/A","N/A","38.16","μg/m³","0","μg/m³","15.15","μg/m³","0.4","μg/m³","1.08","μg/m³","3.73","μg/m³","0.09","μg/m³","10.99","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.18","82.58","N/A","N/A","N/A","2","62","N/A"
"31-01-2025","21:00:00","2025-02-01T03:00:00+00:00","N/A","N/A","27.76","μg/m³","0","μg/m³","28.06","μg/m³","0.68","μg/m³","1.54","μg/m³","4.17","μg/m³","0.26","μg/m³","2.72","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.17","80.9","N/A","N/A","N/A","2","64","N/A"
"31-01-2025","22:00:00","2025-02-01T04:00:00+00:00","N/A","N/A","23.83","μg/m³","0","μg/m³","32.88","μg/m³","0.9","μg/m³","1.67","μg/m³","4.39","μg/m³","0","μg/m³","1.63","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.89","81.74","N/A","N/A","N/A","2","64","N/A"
"31-01-2025","23:00:00","2025-02-01T05:00:00+00:00","10.023068","-84.111685","12.02","μg/m³","0","μg/m³","38.07","μg/m³","2.2","μg/m³","3.11","μg/m³","5.89","μg/m³","0.02","μg/m³","0","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.89","78.8","N/A","N/A","N/A","2","63","N/A"
"01-02-2025","00:00:00","2025-02-01T06:00:00+00:00","10.023087","-84.111715","16.83","μg/m³","0","μg/m³","44.6","μg/m³","4.53","μg/m³","5.58","μg/m³","8.94","μg/m³","0.05","μg/m³","0.29","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.97","79.05","N/A","N/A","N/A","2","60","N/A"
"01-02-2025","01:00:00","2025-02-01T07:00:00+00:00","10.02307","-84.111716","13.07","μg/m³","0","μg/m³","46.83","μg/m³","6","μg/m³","7.27","μg/m³","11.1","μg/m³","0.14","μg/m³","0.01","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","20.05","77.29","N/A","N/A","N/A","3","60","N/A"
"01-02-2025","02:00:00","2025-02-01T08:00:00+00:00","10.023053","-84.111709","19.27","μg/m³","0.01","μg/m³","49","μg/m³","4.37","μg/m³","5.55","μg/m³","8.9","μg/m³","0.1","μg/m³","2.1","μg/m³","0","mg/m³","N/A","ppm","N/A","ppb","19.9","78.53","N/A","N/A","N/A","3","59","N/A"
