"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1762)"
"Site Name","1762"
"Time Period","01/05/2025 00:00 - 31/05/2025 23:59"
"Timestamp","31/05/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3147"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"30-04-2025","17:00:00","2025-04-30T23:00:00+00:00","N/A","N/A","24.66","μg/m³","0","μg/m³","57.31","μg/m³","4.34","μg/m³","5.06","μg/m³","7.41","μg/m³","15.66","μg/m³","18.07","μg/m³","0","mg/m³","24.58","67.33","N/A","N/A","N/A","1","27","N/A"
"30-04-2025","18:00:00","2025-05-01T00:00:00+00:00","N/A","N/A","30.17","μg/m³","0","μg/m³","47.96","μg/m³","5.96","μg/m³","6.46","μg/m³","9.35","μg/m³","8.17","μg/m³","14.02","μg/m³","0.03","mg/m³","21.36","78.41","N/A","N/A","N/A","1","43","N/A"
"30-04-2025","19:00:00","2025-05-01T01:00:00+00:00","N/A","N/A","29.38","μg/m³","0","μg/m³","43.42","μg/m³","5.93","μg/m³","6.47","μg/m³","9.53","μg/m³","4.43","μg/m³","9.38","μg/m³","0.1","mg/m³","19.9","84.7","N/A","N/A","N/A","2","58","N/A"
"30-04-2025","20:00:00","2025-05-01T02:00:00+00:00","N/A","N/A","24.57","μg/m³","0","μg/m³","42.56","μg/m³","2.66","μg/m³","2.97","μg/m³","6.13","μg/m³","2.99","μg/m³","5.13","μg/m³","0.08","mg/m³","19.47","87.07","N/A","N/A","N/A","2","63","N/A"
"30-04-2025","21:00:00","2025-05-01T03:00:00+00:00","N/A","N/A","22.07","μg/m³","0","μg/m³","40.14","μg/m³","4.05","μg/m³","4.43","μg/m³","7.58","μg/m³","2.19","μg/m³","3.73","μg/m³","0.1","mg/m³","19.14","88.03","N/A","N/A","N/A","2","73","N/A"
"30-04-2025","22:00:00","2025-05-01T04:00:00+00:00","N/A","N/A","21.99","μg/m³","0","μg/m³","38.34","μg/m³","6.65","μg/m³","7.3","μg/m³","11.07","μg/m³","1.37","μg/m³","3.41","μg/m³","0.15","mg/m³","18.81","88.86","N/A","N/A","N/A","2","74","N/A"
"30-04-2025","23:00:00","2025-05-01T05:00:00+00:00","N/A","N/A","21.38","μg/m³","0","μg/m³","38.67","μg/m³","4.9","μg/m³","5.4","μg/m³","9.04","μg/m³","0.61","μg/m³","2.89","μg/m³","0.18","mg/m³","18.53","89.49","N/A","N/A","N/A","2","79","N/A"
"01-05-2025","00:00:00","2025-05-01T06:00:00+00:00","N/A","N/A","18.15","μg/m³","0","μg/m³","40.81","μg/m³","4.36","μg/m³","4.86","μg/m³","8.42","μg/m³","0.49","μg/m³","2.18","μg/m³","0.11","mg/m³","18.65","89.81","N/A","N/A","N/A","2","69","N/A"
"01-05-2025","01:00:00","2025-05-01T07:00:00+00:00","N/A","N/A","17.85","μg/m³","0","μg/m³","41.13","μg/m³","2.99","μg/m³","3.38","μg/m³","6.81","μg/m³","0.49","μg/m³","1.41","μg/m³","0.09","mg/m³","18.81","89.16","N/A","N/A","N/A","2","70","N/A"
"01-05-2025","02:00:00","2025-05-01T08:00:00+00:00","N/A","N/A","14.75","μg/m³","0","μg/m³","37.75","μg/m³","3.22","μg/m³","3.59","μg/m³","6.95","μg/m³","1.01","μg/m³","2.32","μg/m³","0.07","mg/m³","18.63","89.49","N/A","N/A","N/A","2","85","N/A"
"01-05-2025","03:00:00","2025-05-01T09:00:00+00:00","N/A","N/A","15.38","μg/m³","0","μg/m³","39.52","μg/m³","2.78","μg/m³","3.12","μg/m³","6.41","μg/m³","0.48","μg/m³","1.5","μg/m³","0.06","mg/m³","18.5","89.84","N/A","N/A","N/A","2","104","N/A"
"01-05-2025","04:00:00","2025-05-01T10:00:00+00:00","N/A","N/A","13.07","μg/m³","0","μg/m³","35.93","μg/m³","2.72","μg/m³","3.03","μg/m³","6.31","μg/m³","0.25","μg/m³","2.19","μg/m³","0.09","mg/m³","18.01","90.33","N/A","N/A","N/A","2","81","N/A"
"01-05-2025","05:00:00","2025-05-01T11:00:00+00:00","N/A","N/A","18.26","μg/m³","1.34","μg/m³","27.84","μg/m³","2.97","μg/m³","3.29","μg/m³","6.73","μg/m³","1.17","μg/m³","2.95","μg/m³","0.18","mg/m³","17.75","90.2","N/A","N/A","N/A","2","72","N/A"
"01-05-2025","06:00:00","2025-05-01T12:00:00+00:00","N/A","N/A","10.85","μg/m³","0.48","μg/m³","26.2","μg/m³","1.27","μg/m³","1.55","μg/m³","4.85","μg/m³","1.89","μg/m³","3.23","μg/m³","0.13","mg/m³","17.75","89.92","N/A","N/A","N/A","1","74","N/A"
"01-05-2025","07:00:00","2025-05-01T13:00:00+00:00","N/A","N/A","18.95","μg/m³","0.26","μg/m³","31.1","μg/m³","1.84","μg/m³","2.21","μg/m³","5.35","μg/m³","3.65","μg/m³","2.22","μg/m³","0.21","mg/m³","18.72","86.9","N/A","N/A","N/A","1","41","N/A"
"01-05-2025","08:00:00","2025-05-01T14:00:00+00:00","N/A","N/A","13.64","μg/m³","0.05","μg/m³","44.44","μg/m³","1.39","μg/m³","2.11","μg/m³","4.48","μg/m³","8.34","μg/m³","0.06","μg/m³","0.07","mg/m³","21.55","77.01","N/A","N/A","N/A","1","20","N/A"
"01-05-2025","09:00:00","2025-05-01T15:00:00+00:00","N/A","N/A","4.76","μg/m³","0","μg/m³","62.91","μg/m³","0.87","μg/m³","2","μg/m³","3.66","μg/m³","9.41","μg/m³","0","μg/m³","0","mg/m³","23.6","69.5","N/A","N/A","N/A","1","4","N/A"
"01-05-2025","10:00:00","2025-05-01T16:00:00+00:00","N/A","N/A","2.03","μg/m³","0","μg/m³","73.99","μg/m³","0.69","μg/m³","2.15","μg/m³","3.05","μg/m³","12.66","μg/m³","0","μg/m³","0","mg/m³","25.5","60.87","N/A","N/A","N/A","1","332","N/A"
"01-05-2025","11:00:00","2025-05-01T17:00:00+00:00","N/A","N/A","5.89","μg/m³","0","μg/m³","81.86","μg/m³","0.3","μg/m³","2.15","μg/m³","2.44","μg/m³","15.55","μg/m³","0.02","μg/m³","0","mg/m³","27.07","54.14","N/A","N/A","N/A","1","281","N/A"
"01-05-2025","12:00:00","2025-05-01T18:00:00+00:00","N/A","N/A","9.21","μg/m³","0","μg/m³","84.8","μg/m³","0.38","μg/m³","2.37","μg/m³","2.6","μg/m³","17.97","μg/m³","0.17","μg/m³","0","mg/m³","28.08","49.99","N/A","N/A","N/A","1","269","N/A"
"01-05-2025","13:00:00","2025-05-01T19:00:00+00:00","N/A","N/A","14.12","μg/m³","0","μg/m³","86.16","μg/m³","0.31","μg/m³","2.44","μg/m³","2.68","μg/m³","21.14","μg/m³","1.6","μg/m³","0","mg/m³","29.13","46.63","N/A","N/A","N/A","2","284","N/A"
"01-05-2025","14:00:00","2025-05-01T20:00:00+00:00","N/A","N/A","23.26","μg/m³","0","μg/m³","79.18","μg/m³","1.07","μg/m³","2.88","μg/m³","3.28","μg/m³","20.91","μg/m³","9.91","μg/m³","0","mg/m³","28.3","51.77","N/A","N/A","N/A","2","302","N/A"
"01-05-2025","15:00:00","2025-05-01T21:00:00+00:00","N/A","N/A","25.93","μg/m³","0","μg/m³","68.37","μg/m³","2.26","μg/m³","3.55","μg/m³","5.01","μg/m³","18.95","μg/m³","16.36","μg/m³","0","mg/m³","26.56","60.81","N/A","N/A","N/A","1","333","N/A"
"01-05-2025","16:00:00","2025-05-01T22:00:00+00:00","N/A","N/A","26.85","μg/m³","0","μg/m³","72.74","μg/m³","8.98","μg/m³","10.27","μg/m³","14.59","μg/m³","18.68","μg/m³","6.71","μg/m³","0","mg/m³","26.93","59.48","N/A","N/A","N/A","1","6","N/A"
"01-05-2025","17:00:00","2025-05-01T23:00:00+00:00","N/A","N/A","19.47","μg/m³","0","μg/m³","50.89","μg/m³","7.73","μg/m³","8.5","μg/m³","12.51","μg/m³","12.75","μg/m³","17.48","μg/m³","0","mg/m³","22.84","73.63","N/A","N/A","N/A","1","14","N/A"
"01-05-2025","18:00:00","2025-05-02T00:00:00+00:00","N/A","N/A","26.63","μg/m³","0","μg/m³","42.82","μg/m³","5.13","μg/m³","5.63","μg/m³","8.87","μg/m³","6.81","μg/m³","12.65","μg/m³","0.05","mg/m³","20.44","82.94","N/A","N/A","N/A","1","30","N/A"
"01-05-2025","19:00:00","2025-05-02T01:00:00+00:00","N/A","N/A","28.9","μg/m³","0","μg/m³","41.17","μg/m³","3.64","μg/m³","3.98","μg/m³","7.12","μg/m³","3.4","μg/m³","6.93","μg/m³","0.13","mg/m³","19.51","86.77","N/A","N/A","N/A","2","55","N/A"
"01-05-2025","20:00:00","2025-05-02T02:00:00+00:00","N/A","N/A","23.56","μg/m³","0","μg/m³","43.16","μg/m³","2.44","μg/m³","2.79","μg/m³","6.04","μg/m³","1.49","μg/m³","3.68","μg/m³","0.1","mg/m³","19.28","87.77","N/A","N/A","N/A","2","66","N/A"
"01-05-2025","21:00:00","2025-05-02T03:00:00+00:00","N/A","N/A","20.45","μg/m³","0","μg/m³","42.19","μg/m³","1.19","μg/m³","1.52","μg/m³","4.83","μg/m³","0.43","μg/m³","3.84","μg/m³","0.07","mg/m³","19","89.58","N/A","N/A","N/A","1","70","N/A"
"01-05-2025","22:00:00","2025-05-02T04:00:00+00:00","N/A","N/A","18.09","μg/m³","0","μg/m³","44.24","μg/m³","0.44","μg/m³","0.78","μg/m³","4.13","μg/m³","0.04","μg/m³","2.47","μg/m³","0.06","mg/m³","18.79","91","N/A","N/A","N/A","1","60","N/A"
"01-05-2025","23:00:00","2025-05-02T05:00:00+00:00","N/A","N/A","17.26","μg/m³","0","μg/m³","42.16","μg/m³","0.76","μg/m³","1.04","μg/m³","4.41","μg/m³","0.03","μg/m³","2.16","μg/m³","0.1","mg/m³","18.61","91.13","N/A","N/A","N/A","2","70","N/A"
"02-05-2025","00:00:00","2025-05-02T06:00:00+00:00","N/A","N/A","15.62","μg/m³","0","μg/m³","42.94","μg/m³","0.57","μg/m³","0.91","μg/m³","4.27","μg/m³","0.04","μg/m³","1.64","μg/m³","0.07","mg/m³","18.58","91.08","N/A","N/A","N/A","1","82","N/A"
