"Averaging time data supplied by EarthSense on 19/06/2025"
"Source","Zephyr"
"ID","Zephyr (1775)"
"Site Name","1775"
"Time Period","01/05/2025 00:00 - 31/05/2025 23:59"
"Timestamp","31/05/2025 23:59 Local Time Zone Code Time Ending"
"Averaging Period","1 Hour"
"Slot B BIC","BIC3150"

"Date (Local)","Time (Local)","UTC Time Stamp","Latitude","Longitude","NO2 Concentration","NO2 Unit","NO Concentration","NO Unit","O3 Concentration","O3 Unit","PM1 Concentration","PM1 Unit","PM2.5 Concentration","PM2.5 Unit","PM10 Concentration","PM10 Unit","SO2 Concentration","SO2 Unit","H2S Concentration","H2S Unit","CO Concentration","CO Unit","Temperature (°C)","Relative Humidity (%)","Measured (External) Wind Speed (m/s)","Measured (External) Wind Direction (°)","Measured (External) Rainfall (mm/hr)","Modelled Wind Speed (m/s)","Modelled Wind Direction (°)","Modelled Rainfall (mm/hr)"
"30-04-2025","17:00:00","2025-04-30T23:00:00+00:00","N/A","N/A","64.46","μg/m³","0","μg/m³","51.04","μg/m³","6.31","μg/m³","7.65","μg/m³","10.39","μg/m³","25.1","μg/m³","41.62","μg/m³","0.01","mg/m³","27.35","59.53","N/A","N/A","N/A","0","244","N/A"
"30-04-2025","18:00:00","2025-05-01T00:00:00+00:00","N/A","N/A","58.06","μg/m³","0","μg/m³","41.72","μg/m³","7.7","μg/m³","8.42","μg/m³","12.46","μg/m³","15.44","μg/m³","27.94","μg/m³","0.09","mg/m³","23.37","78.08","N/A","N/A","N/A","0","9","N/A"
"30-04-2025","19:00:00","2025-05-01T01:00:00+00:00","N/A","N/A","63.96","μg/m³","0","μg/m³","33.8","μg/m³","10.29","μg/m³","11.23","μg/m³","15.08","μg/m³","10.25","μg/m³","14.76","μg/m³","0.41","mg/m³","22.56","85.74","N/A","N/A","N/A","1","30","N/A"
"30-04-2025","20:00:00","2025-05-01T02:00:00+00:00","N/A","N/A","49.26","μg/m³","0.76","μg/m³","32.04","μg/m³","4.14","μg/m³","4.64","μg/m³","7.9","μg/m³","6.31","μg/m³","2.49","μg/m³","0.21","mg/m³","22.14","82.95","N/A","N/A","N/A","1","41","N/A"
"30-04-2025","21:00:00","2025-05-01T03:00:00+00:00","N/A","N/A","36.93","μg/m³","2.53","μg/m³","35.57","μg/m³","12.58","μg/m³","13.88","μg/m³","18.28","μg/m³","5.75","μg/m³","0.63","μg/m³","0.14","mg/m³","22.08","79.98","N/A","N/A","N/A","1","47","N/A"
"30-04-2025","22:00:00","2025-05-01T04:00:00+00:00","N/A","N/A","29.77","μg/m³","0","μg/m³","39.37","μg/m³","19.34","μg/m³","21.04","μg/m³","28.24","μg/m³","6.64","μg/m³","0.58","μg/m³","0.14","mg/m³","22.3","77.56","N/A","N/A","N/A","1","43","N/A"
"30-04-2025","23:00:00","2025-05-01T05:00:00+00:00","N/A","N/A","32.42","μg/m³","1.33","μg/m³","34.29","μg/m³","4.6","μg/m³","5.3","μg/m³","8.56","μg/m³","7.91","μg/m³","3.89","μg/m³","0.17","mg/m³","22.22","77.41","N/A","N/A","N/A","1","51","N/A"
"01-05-2025","00:00:00","2025-05-01T06:00:00+00:00","N/A","N/A","36.5","μg/m³","8.91","μg/m³","31.02","μg/m³","6.58","μg/m³","7.28","μg/m³","10.56","μg/m³","10.76","μg/m³","10.66","μg/m³","0.47","mg/m³","22.04","80.56","N/A","N/A","N/A","1","46","N/A"
"01-05-2025","01:00:00","2025-05-01T07:00:00+00:00","N/A","N/A","28.16","μg/m³","0","μg/m³","36.78","μg/m³","2.85","μg/m³","3.5","μg/m³","6.5","μg/m³","7.15","μg/m³","1.53","μg/m³","0.04","mg/m³","22.1","77.41","N/A","N/A","N/A","2","45","N/A"
"01-05-2025","02:00:00","2025-05-01T08:00:00+00:00","N/A","N/A","27.45","μg/m³","0","μg/m³","35.46","μg/m³","2.2","μg/m³","2.87","μg/m³","5.6","μg/m³","6.88","μg/m³","2.52","μg/m³","0.01","mg/m³","22.02","77.54","N/A","N/A","N/A","1","63","N/A"
"01-05-2025","03:00:00","2025-05-01T09:00:00+00:00","N/A","N/A","28.37","μg/m³","0","μg/m³","31.66","μg/m³","5.82","μg/m³","6.48","μg/m³","10","μg/m³","8.17","μg/m³","8.17","μg/m³","0.02","mg/m³","21.84","79.85","N/A","N/A","N/A","1","76","N/A"
"01-05-2025","04:00:00","2025-05-01T10:00:00+00:00","N/A","N/A","29.84","μg/m³","0","μg/m³","26.42","μg/m³","15.22","μg/m³","16.25","μg/m³","22.85","μg/m³","9.3","μg/m³","12.32","μg/m³","0.13","mg/m³","21.11","86.47","N/A","N/A","N/A","1","50","N/A"
"01-05-2025","05:00:00","2025-05-01T11:00:00+00:00","N/A","N/A","34.44","μg/m³","1.06","μg/m³","24.77","μg/m³","16.31","μg/m³","17.33","μg/m³","25.23","μg/m³","8.83","μg/m³","8.11","μg/m³","0.21","mg/m³","21.07","88.05","N/A","N/A","N/A","2","33","N/A"
"01-05-2025","06:00:00","2025-05-01T12:00:00+00:00","N/A","N/A","26.54","μg/m³","9.06","μg/m³","25.81","μg/m³","16.78","μg/m³","17.79","μg/m³","25.8","μg/m³","9.22","μg/m³","3.88","μg/m³","0.26","mg/m³","21.05","87.47","N/A","N/A","N/A","1","38","N/A"
"01-05-2025","07:00:00","2025-05-01T13:00:00+00:00","N/A","N/A","27.34","μg/m³","30.6","μg/m³","30.58","μg/m³","6.67","μg/m³","7.41","μg/m³","10.67","μg/m³","11.3","μg/m³","1.63","μg/m³","0.59","mg/m³","22.06","80.23","N/A","N/A","N/A","1","25","N/A"
"01-05-2025","08:00:00","2025-05-01T14:00:00+00:00","N/A","N/A","18.82","μg/m³","1.62","μg/m³","45.82","μg/m³","5.65","μg/m³","6.66","μg/m³","9.98","μg/m³","9.49","μg/m³","0","μg/m³","0.09","mg/m³","25.14","67.32","N/A","N/A","N/A","0","51","N/A"
"01-05-2025","09:00:00","2025-05-01T15:00:00+00:00","N/A","N/A","16.4","μg/m³","0","μg/m³","56.61","μg/m³","1.6","μg/m³","3.19","μg/m³","4.44","μg/m³","12.69","μg/m³","0.01","μg/m³","0.01","mg/m³","27.6","57.95","N/A","N/A","N/A","1","248","N/A"
"01-05-2025","10:00:00","2025-05-01T16:00:00+00:00","N/A","N/A","20.79","μg/m³","0","μg/m³","68.61","μg/m³","3.53","μg/m³","5.49","μg/m³","7.2","μg/m³","16.5","μg/m³","0","μg/m³","0","mg/m³","30.13","49.36","N/A","N/A","N/A","1","235","N/A"
"01-05-2025","11:00:00","2025-05-01T17:00:00+00:00","N/A","N/A","29.53","μg/m³","0","μg/m³","76.78","μg/m³","3.47","μg/m³","5.73","μg/m³","7.15","μg/m³","21.26","μg/m³","0.05","μg/m³","0","mg/m³","32.44","42.46","N/A","N/A","N/A","2","242","N/A"
"01-05-2025","12:00:00","2025-05-01T18:00:00+00:00","N/A","N/A","47.93","μg/m³","0","μg/m³","89.26","μg/m³","1.23","μg/m³","3.64","μg/m³","4.04","μg/m³","25.48","μg/m³","0.79","μg/m³","0","mg/m³","34.61","38.03","N/A","N/A","N/A","3","251","N/A"
"01-05-2025","13:00:00","2025-05-01T19:00:00+00:00","N/A","N/A","104.14","μg/m³","0","μg/m³","104.8","μg/m³","7.08","μg/m³","9.62","μg/m³","12.71","μg/m³","33.09","μg/m³","18.64","μg/m³","0","mg/m³","37.15","39.06","N/A","N/A","N/A","2","254","N/A"
"01-05-2025","14:00:00","2025-05-01T20:00:00+00:00","N/A","N/A","74.66","μg/m³","0","μg/m³","88.05","μg/m³","11.27","μg/m³","12.83","μg/m³","18.06","μg/m³","29.75","μg/m³","45.84","μg/m³","0","mg/m³","31.83","50.98","N/A","N/A","N/A","1","260","N/A"
"01-05-2025","15:00:00","2025-05-01T21:00:00+00:00","N/A","N/A","50.76","μg/m³","0","μg/m³","72.51","μg/m³","15.34","μg/m³","16.56","μg/m³","21.88","μg/m³","15.71","μg/m³","36","μg/m³","0.01","mg/m³","24.05","76.7","N/A","N/A","N/A","0","5","N/A"
"01-05-2025","16:00:00","2025-05-01T22:00:00+00:00","N/A","N/A","50.34","μg/m³","0","μg/m³","64.21","μg/m³","13.57","μg/m³","14.87","μg/m³","17.9","μg/m³","8.33","μg/m³","11.58","μg/m³","0.02","mg/m³","23.12","82.73","N/A","N/A","N/A","1","40","N/A"
"01-05-2025","17:00:00","2025-05-01T23:00:00+00:00","N/A","N/A","40.64","μg/m³","0","μg/m³","56.33","μg/m³","10.15","μg/m³","11.07","μg/m³","14.15","μg/m³","6.34","μg/m³","2.42","μg/m³","0.07","mg/m³","23.02","81.4","N/A","N/A","N/A","0","11","N/A"
"01-05-2025","18:00:00","2025-05-02T00:00:00+00:00","N/A","N/A","41.84","μg/m³","0","μg/m³","43.89","μg/m³","9.77","μg/m³","10.74","μg/m³","13.92","μg/m³","7.03","μg/m³","4.98","μg/m³","0.16","mg/m³","22.79","83.37","N/A","N/A","N/A","1","14","N/A"
"01-05-2025","19:00:00","2025-05-02T01:00:00+00:00","N/A","N/A","26.71","μg/m³","0","μg/m³","44.79","μg/m³","3.15","μg/m³","3.83","μg/m³","7.15","μg/m³","5.4","μg/m³","2.87","μg/m³","0.02","mg/m³","21.69","83.97","N/A","N/A","N/A","1","37","N/A"
"01-05-2025","20:00:00","2025-05-02T02:00:00+00:00","N/A","N/A","36.18","μg/m³","0","μg/m³","35.43","μg/m³","2.76","μg/m³","3.25","μg/m³","6.39","μg/m³","5.84","μg/m³","2.48","μg/m³","0.23","mg/m³","21.6","84.46","N/A","N/A","N/A","1","43","N/A"
"01-05-2025","21:00:00","2025-05-02T03:00:00+00:00","N/A","N/A","23.57","μg/m³","0","μg/m³","40.87","μg/m³","2.66","μg/m³","3.17","μg/m³","6.2","μg/m³","5.79","μg/m³","0.01","μg/m³","0.1","mg/m³","22.16","81.03","N/A","N/A","N/A","1","69","N/A"
"01-05-2025","22:00:00","2025-05-02T04:00:00+00:00","N/A","N/A","29.99","μg/m³","0","μg/m³","35.61","μg/m³","2.11","μg/m³","2.68","μg/m³","5.37","μg/m³","7.79","μg/m³","3.59","μg/m³","0.19","mg/m³","22.43","79.35","N/A","N/A","N/A","1","73","N/A"
"01-05-2025","23:00:00","2025-05-02T05:00:00+00:00","N/A","N/A","25.93","μg/m³","0","μg/m³","37.39","μg/m³","0.75","μg/m³","1.34","μg/m³","4.08","μg/m³","7.38","μg/m³","6.57","μg/m³","0.08","mg/m³","21.97","82.39","N/A","N/A","N/A","1","44","N/A"
"02-05-2025","00:00:00","2025-05-02T06:00:00+00:00","N/A","N/A","34.77","μg/m³","0","μg/m³","32.1","μg/m³","1.34","μg/m³","1.78","μg/m³","4.7","μg/m³","7.21","μg/m³","5.46","μg/m³","0.2","mg/m³","21.69","84.21","N/A","N/A","N/A","1","42","N/A"
"02-05-2025","01:00:00","2025-05-02T07:00:00+00:00","N/A","N/A","26.58","μg/m³","0","μg/m³","36.52","μg/m³","1.02","μg/m³","1.57","μg/m³","4.36","μg/m³","6.73","μg/m³","1.04","μg/m³","0.08","mg/m³","22.04","82.06","N/A","N/A","N/A","1","59","N/A"
"02-05-2025","02:00:00","2025-05-02T08:00:00+00:00","N/A","N/A","23.78","μg/m³","0","μg/m³","33.61","μg/m³","0.95","μg/m³","1.52","μg/m³","4.19","μg/m³","7.81","μg/m³","3.37","μg/m³","0.05","mg/m³","22.18","81.8","N/A","N/A","N/A","1","50","N/A"
"02-05-2025","03:00:00","2025-05-02T09:00:00+00:00","N/A","N/A","27.44","μg/m³","0","μg/m³","29.23","μg/m³","1.67","μg/m³","2.03","μg/m³","4.94","μg/m³","10.23","μg/m³","6.26","μg/m³","0.17","mg/m³","22","83.31","N/A","N/A","N/A","1","47","N/A"
"02-05-2025","04:00:00","2025-05-02T10:00:00+00:00","N/A","N/A","27.93","μg/m³","0","μg/m³","27.11","μg/m³","4.2","μg/m³","4.61","μg/m³","7.67","μg/m³","9.59","μg/m³","7.07","μg/m³","0.18","mg/m³","21.83","85.45","N/A","N/A","N/A","1","49","N/A"
"02-05-2025","05:00:00","2025-05-02T11:00:00+00:00","N/A","N/A","26.1","μg/m³","0","μg/m³","34.96","μg/m³","8.53","μg/m³","9.32","μg/m³","12.49","μg/m³","6.88","μg/m³","4.17","μg/m³","0.04","mg/m³","21.63","86.07","N/A","N/A","N/A","1","69","N/A"
"02-05-2025","06:00:00","2025-05-02T12:00:00+00:00","N/A","N/A","25.09","μg/m³","0","μg/m³","31.25","μg/m³","9.7","μg/m³","10.6","μg/m³","13.71","μg/m³","7.5","μg/m³","4.82","μg/m³","0.1","mg/m³","21.52","87.25","N/A","N/A","N/A","1","51","N/A"
"02-05-2025","07:00:00","2025-05-02T13:00:00+00:00","N/A","N/A","45.91","μg/m³","27.67","μg/m³","30.85","μg/m³","13.55","μg/m³","14.77","μg/m³","18.4","μg/m³","14.34","μg/m³","3.91","μg/m³","0.74","mg/m³","23.31","81.36","N/A","N/A","N/A","1","9","N/A"
"02-05-2025","08:00:00","2025-05-02T14:00:00+00:00","N/A","N/A","58","μg/m³","47.97","μg/m³","37.66","μg/m³","12.7","μg/m³","13.67","μg/m³","18.81","μg/m³","20.87","μg/m³","0.46","μg/m³","0.87","mg/m³","28.13","65.3","N/A","N/A","N/A","0","260","N/A"
"02-05-2025","09:00:00","2025-05-02T15:00:00+00:00","N/A","N/A","54.1","μg/m³","18.69","μg/m³","50.51","μg/m³","9.66","μg/m³","10.98","μg/m³","15.52","μg/m³","24.23","μg/m³","0.06","μg/m³","0.29","mg/m³","32.31","52.67","N/A","N/A","N/A","1","245","N/A"
"02-05-2025","10:00:00","2025-05-02T16:00:00+00:00","N/A","N/A","59.03","μg/m³","0.16","μg/m³","70.87","μg/m³","3.84","μg/m³","5.82","μg/m³","7.16","μg/m³","27.16","μg/m³","0.15","μg/m³","0","mg/m³","35.09","44.58","N/A","N/A","N/A","2","237","N/A"
"02-05-2025","11:00:00","2025-05-02T17:00:00+00:00","N/A","N/A","61.87","μg/m³","0","μg/m³","85.42","μg/m³","3.27","μg/m³","5.21","μg/m³","6.32","μg/m³","27.2","μg/m³","4.63","μg/m³","0","mg/m³","34.4","45.76","N/A","N/A","N/A","2","240","N/A"
"02-05-2025","12:00:00","2025-05-02T18:00:00+00:00","N/A","N/A","69.25","μg/m³","0","μg/m³","83.55","μg/m³","2.64","μg/m³","4.55","μg/m³","5.25","μg/m³","28.04","μg/m³","4.05","μg/m³","0","mg/m³","34.57","45.93","N/A","N/A","N/A","3","248","N/A"
"02-05-2025","13:00:00","2025-05-02T19:00:00+00:00","N/A","N/A","62.84","μg/m³","0","μg/m³","76.89","μg/m³","0.89","μg/m³","3.06","μg/m³","3.37","μg/m³","28.07","μg/m³","4.58","μg/m³","0","mg/m³","34.24","43.98","N/A","N/A","N/A","3","253","N/A"
"02-05-2025","14:00:00","2025-05-02T20:00:00+00:00","N/A","N/A","47.1","μg/m³","0","μg/m³","67.22","μg/m³","1.64","μg/m³","3.34","μg/m³","4.27","μg/m³","24.66","μg/m³","28.41","μg/m³","0","mg/m³","29.89","54.13","N/A","N/A","N/A","2","253","N/A"
"02-05-2025","15:00:00","2025-05-02T21:00:00+00:00","N/A","N/A","48.16","μg/m³","0","μg/m³","53.01","μg/m³","4.16","μg/m³","4.89","μg/m³","7.58","μg/m³","15.89","μg/m³","31.43","μg/m³","0.01","mg/m³","24.62","71.06","N/A","N/A","N/A","1","251","N/A"
"02-05-2025","16:00:00","2025-05-02T22:00:00+00:00","N/A","N/A","53.9","μg/m³","0","μg/m³","51.71","μg/m³","6.62","μg/m³","7.22","μg/m³","10.19","μg/m³","9.79","μg/m³","17.99","μg/m³","0.08","mg/m³","22.67","84.77","N/A","N/A","N/A","1","214","N/A"
"02-05-2025","17:00:00","2025-05-02T23:00:00+00:00","N/A","N/A","55.27","μg/m³","0","μg/m³","41.12","μg/m³","9.5","μg/m³","10.39","μg/m³","13.32","μg/m³","7.3","μg/m³","8.41","μg/m³","0.23","mg/m³","22.59","86.55","N/A","N/A","N/A","1","201","N/A"
"02-05-2025","18:00:00","2025-05-03T00:00:00+00:00","N/A","N/A","61","μg/m³","0.21","μg/m³","34.03","μg/m³","8.94","μg/m³","9.79","μg/m³","12.48","μg/m³","6.99","μg/m³","6.61","μg/m³","0.53","mg/m³","22.32","87.27","N/A","N/A","N/A","0","226","N/A"
"02-05-2025","19:00:00","2025-05-03T01:00:00+00:00","N/A","N/A","57.51","μg/m³","0","μg/m³","31.41","μg/m³","8.18","μg/m³","8.97","μg/m³","11.67","μg/m³","7.51","μg/m³","7.3","μg/m³","0.56","mg/m³","22.26","88.45","N/A","N/A","N/A","0","285","N/A"
"02-05-2025","20:00:00","2025-05-03T02:00:00+00:00","N/A","N/A","49.7","μg/m³","0.36","μg/m³","32.1","μg/m³","11.37","μg/m³","12.44","μg/m³","15.24","μg/m³","8.33","μg/m³","6.24","μg/m³","0.58","mg/m³","22.25","87.87","N/A","N/A","N/A","1","335","N/A"
"02-05-2025","21:00:00","2025-05-03T03:00:00+00:00","N/A","N/A","20.94","μg/m³","0","μg/m³","38.58","μg/m³","2.22","μg/m³","2.74","μg/m³","5.66","μg/m³","5.41","μg/m³","0","μg/m³","0.04","mg/m³","21.92","81.09","N/A","N/A","N/A","1","352","N/A"
"02-05-2025","22:00:00","2025-05-03T04:00:00+00:00","N/A","N/A","16.49","μg/m³","0","μg/m³","42.32","μg/m³","3.09","μg/m³","3.73","μg/m³","6.68","μg/m³","4.72","μg/m³","0.99","μg/m³","0.02","mg/m³","21.43","79.07","N/A","N/A","N/A","1","38","N/A"
"02-05-2025","23:00:00","2025-05-03T05:00:00+00:00","N/A","N/A","29.12","μg/m³","0","μg/m³","33.16","μg/m³","7.29","μg/m³","8.16","μg/m³","11.73","μg/m³","6.26","μg/m³","6.3","μg/m³","0.22","mg/m³","21.09","81.92","N/A","N/A","N/A","0","355","N/A"
"03-05-2025","00:00:00","2025-05-03T06:00:00+00:00","N/A","N/A","31.9","μg/m³","0","μg/m³","29.25","μg/m³","12.86","μg/m³","13.94","μg/m³","18.26","μg/m³","8.07","μg/m³","8.42","μg/m³","0.36","mg/m³","21.02","85.05","N/A","N/A","N/A","0","34","N/A"
"03-05-2025","01:00:00","2025-05-03T07:00:00+00:00","N/A","N/A","30.56","μg/m³","0","μg/m³","30.01","μg/m³","7.87","μg/m³","8.61","μg/m³","12.97","μg/m³","7.75","μg/m³","8.62","μg/m³","0.31","mg/m³","21.02","87.87","N/A","N/A","N/A","1","62","N/A"
